gene,TPM
ENSG00000000003.16,0.17251
ENSG00000000005.6,0.0
ENSG00000000419.14,25.194437
ENSG00000000457.14,4.57925
ENSG00000000460.17,0.801274
ENSG00000000938.13,398.604917
ENSG00000000971.17,1.566165
ENSG00000001036.14,8.950209
ENSG00000001084.13,2.2134840000000002
ENSG00000001167.15,6.31996
ENSG00000001460.18,1.448296
ENSG00000001461.19,2.729264
ENSG00000001497.18,2.991619
ENSG00000001561.7,1.186055
ENSG00000001617.12,0.0
ENSG00000001626.18,0.0
ENSG00000001629.10,2.015351
ENSG00000001630.18,3.203317
ENSG00000001631.17,6.701459
ENSG00000002016.18,1.755905
ENSG00000002330.14,5.2584219999999995
ENSG00000002549.13,22.228657
ENSG00000002586.20,254.565043
ENSG00000002587.10,0.035521
ENSG00000002726.21,0.283783
ENSG00000002745.13,0.0
ENSG00000002746.15,0.0
ENSG00000002822.16,7.292433000000001
ENSG00000002834.19,158.429833
ENSG00000002919.15,25.834623
ENSG00000002933.9,5.855487
ENSG00000003056.8,59.572621
ENSG00000003096.15,0.0
ENSG00000003137.9,0.0
ENSG00000003147.19,9.942854
ENSG00000003249.15,0.123453
ENSG00000003393.16,5.06529
ENSG00000003400.16,8.879228
ENSG00000003402.21,472.526932
ENSG00000003436.16,4.7336540000000005
ENSG00000003509.16,7.086914
ENSG00000003756.17,130.86738
ENSG00000003987.14,0.0
ENSG00000003989.18,0.0
ENSG00000004059.11,109.57324
ENSG00000004139.14,0.545443
ENSG00000004142.12,13.290559
ENSG00000004399.13,7.0939239999999995
ENSG00000004455.18,15.419187999999998
ENSG00000004468.13,1.383564
ENSG00000004478.8,7.193086
ENSG00000004487.18,4.96891
ENSG00000004534.15,66.49471199999999
ENSG00000004660.15,7.622076
ENSG00000004700.16,6.900546
ENSG00000004766.17,1.9528560000000001
ENSG00000004776.13,0.568855
ENSG00000004777.19,0.163521
ENSG00000004779.10,13.029972999999998
ENSG00000004799.8,7.767615999999999
ENSG00000004809.14,1.428993
ENSG00000004838.14,0.44598899999999997
ENSG00000004846.17,0.247673
ENSG00000004848.8,0.0
ENSG00000004864.14,2.835322
ENSG00000004866.22,4.471299999999999
ENSG00000004897.12,5.767194
ENSG00000004939.16,51.612554
ENSG00000004948.16,0.0
ENSG00000004961.15,6.548526
ENSG00000004975.12,2.417197
ENSG00000005001.10,0.634391
ENSG00000005007.14,22.442914000000002
ENSG00000005020.13,109.372978
ENSG00000005022.6,43.667544
ENSG00000005059.16,9.53146
ENSG00000005073.6,0.0
ENSG00000005075.16,25.385897
ENSG00000005100.13,0.862695
ENSG00000005102.14,0.121696
ENSG00000005108.17,0.0
ENSG00000005156.12,16.832720000000002
ENSG00000005175.10,11.081230000000001
ENSG00000005187.12,2.1227549999999997
ENSG00000005189.20,0.0
ENSG00000005194.15,16.867731
ENSG00000005206.17,3.187936
ENSG00000005238.20,42.456548
ENSG00000005243.10,1.6465210000000001
ENSG00000005249.14,39.933591
ENSG00000005302.19,147.885274
ENSG00000005339.15,59.241309
ENSG00000005379.17,1.7401449999999998
ENSG00000005381.9,2.501905
ENSG00000005421.9,0.0
ENSG00000005436.14,0.9482109999999999
ENSG00000005448.17,2.026922
ENSG00000005469.12,1.897243
ENSG00000005471.19,0.0
ENSG00000005483.23,51.730207
ENSG00000005486.17,22.811097
ENSG00000005513.11,0.034906
ENSG00000005700.15,2.27141
ENSG00000005801.18,1.557609
ENSG00000005810.20,24.625441
ENSG00000005812.11,25.361148
ENSG00000005844.19,188.616547
ENSG00000005882.12,5.293301
ENSG00000005884.18,0.862487
ENSG00000005889.16,4.472577
ENSG00000005893.17,141.20010100000002
ENSG00000005961.19,104.944061
ENSG00000005981.13,0.278217
ENSG00000006007.12,52.681252
ENSG00000006015.18,6.806025
ENSG00000006016.12,0.0
ENSG00000006025.13,1.020125
ENSG00000006042.12,1.59827
ENSG00000006047.13,0.0
ENSG00000006059.4,0.0
ENSG00000006062.18,3.901735
