gene,TPM
ENSG00000000003.16,0.0
ENSG00000000005.6,0.0
ENSG00000000419.14,11.097178999999999
ENSG00000000457.14,0.786351
ENSG00000000460.17,0.9284079999999999
ENSG00000000938.13,57.487429999999996
ENSG00000000971.17,0.297192
ENSG00000001036.14,2.299463
ENSG00000001084.13,6.452795
ENSG00000001167.15,1.8104339999999999
ENSG00000001460.18,0.493926
ENSG00000001461.19,0.46578600000000003
ENSG00000001497.18,1.041628
ENSG00000001561.7,1.068959
ENSG00000001617.12,0.018747
ENSG00000001626.18,0.0
ENSG00000001629.10,18.043317000000002
ENSG00000001630.18,1.5429519999999999
ENSG00000001631.17,4.079886
ENSG00000002016.18,0.188185
ENSG00000002330.14,3.904801
ENSG00000002549.13,58.101725
ENSG00000002586.20,4.822785
ENSG00000002587.10,0.0
ENSG00000002726.21,0.0
ENSG00000002745.13,0.0
ENSG00000002746.15,0.0
ENSG00000002822.16,2.631596
ENSG00000002834.19,6.404991
ENSG00000002919.15,3.220109
ENSG00000002933.9,0.470362
ENSG00000003056.8,27.621102999999998
ENSG00000003096.15,0.03308
ENSG00000003137.9,0.014777
ENSG00000003147.19,1.196058
ENSG00000003249.15,0.0
ENSG00000003393.16,0.910648
ENSG00000003400.16,4.135122
ENSG00000003402.21,66.667908
ENSG00000003436.16,2.9501399999999998
ENSG00000003509.16,3.234768
ENSG00000003756.17,24.975651000000003
ENSG00000003987.14,0.011521
ENSG00000003989.18,0.0
ENSG00000004059.11,6.822981
ENSG00000004139.14,0.033733
ENSG00000004142.12,2.064929
ENSG00000004399.13,0.30818199999999996
ENSG00000004455.18,9.119397000000001
ENSG00000004468.13,1.342643
ENSG00000004478.8,0.771068
ENSG00000004487.18,3.7112999999999996
ENSG00000004534.15,7.161327999999999
ENSG00000004660.15,1.468949
ENSG00000004700.16,2.26408
ENSG00000004766.17,9.420354
ENSG00000004776.13,0.0
ENSG00000004777.19,0.165053
ENSG00000004779.10,4.937119
ENSG00000004799.8,2.3109569999999997
ENSG00000004809.14,1.117922
ENSG00000004838.14,0.0
ENSG00000004846.17,0.11185200000000001
ENSG00000004848.8,0.0
ENSG00000004864.14,5.86842
ENSG00000004866.22,1.552889
ENSG00000004897.12,36.991625
ENSG00000004939.16,27.780518
ENSG00000004948.16,0.0
ENSG00000004961.15,1.6009390000000001
ENSG00000004975.12,0.22867600000000002
ENSG00000005001.10,0.0
ENSG00000005007.14,2.199978
ENSG00000005020.13,4.374606
ENSG00000005022.6,9.967196
ENSG00000005059.16,7.136835
ENSG00000005073.6,0.0
ENSG00000005075.16,7.543402
ENSG00000005100.13,0.500558
ENSG00000005102.14,0.0
ENSG00000005108.17,0.0
ENSG00000005156.12,1.4194229999999999
ENSG00000005175.10,4.116028
ENSG00000005187.12,0.278764
ENSG00000005189.20,1.002972
ENSG00000005194.15,1.769828
ENSG00000005206.17,1.15264
ENSG00000005238.20,7.0889240000000004
ENSG00000005243.10,0.168924
ENSG00000005249.14,4.3927570000000005
ENSG00000005302.19,8.258477
ENSG00000005339.15,2.8313639999999998
ENSG00000005379.17,0.192589
ENSG00000005381.9,0.299559
ENSG00000005421.9,0.0
ENSG00000005436.14,2.5270279999999996
ENSG00000005448.17,0.131886
ENSG00000005469.12,0.20325300000000002
ENSG00000005471.19,0.21643099999999998
ENSG00000005483.23,38.863029
ENSG00000005486.17,1.715252
ENSG00000005513.11,0.019691
ENSG00000005700.15,2.2621309999999997
ENSG00000005801.18,2.01185
ENSG00000005810.20,6.136993
ENSG00000005812.11,10.289303
ENSG00000005844.19,8.563775
ENSG00000005882.12,1.2208759999999999
ENSG00000005884.18,0.082947
ENSG00000005889.16,9.354736
ENSG00000005893.17,35.308621
ENSG00000005961.19,0.36414100000000005
ENSG00000005981.13,0.015767
ENSG00000006007.12,6.314343
ENSG00000006015.18,3.905728
ENSG00000006016.12,0.239946
ENSG00000006025.13,0.607206
ENSG00000006042.12,0.5488649999999999
ENSG00000006047.13,0.0
ENSG00000006059.4,0.0
ENSG00000006062.18,0.21165
ENSG00000006071.16,0.055084
ENSG00000006116.4,0.0
ENSG00000006118.15,0.0
ENSG00000006125.18,12.788568
ENSG00000006128.12,0.0
ENSG00000006194.12,1.6584809999999999
ENSG00000006210.7,0.019814
ENSG00000006282.22,0.539237
ENSG00000006283.18,0.0
ENSG00000006327.14,4.915591
ENSG00000006377.11,0.0
ENSG00000006432.16,0.035067
ENSG00000006451.8,0.918164
ENSG00000006453.14,0.016401
ENSG00000006459.11,7.346569000000001
ENSG00000006468.15,0.0
ENSG00000006530.18,2.05361
ENSG00000006534.17,2.365928
ENSG00000006555.11,0.017645
ENSG00000006576.17,2.835045
ENSG00000006606.9,0.0
ENSG00000006607.14,3.401961
ENSG00000006611.17,0.0
ENSG00000006625.18,0.855386
ENSG00000006634.8,8.426981999999999
ENSG00000006638.13,0.069685
ENSG00000006652.15,34.103716
ENSG00000006659.13,0.0
ENSG00000006695.12,0.740964
ENSG00000006704.11,0.026797
ENSG00000006712.15,1.154786
ENSG00000006715.16,5.247045
ENSG00000006740.18,0.0
ENSG00000006744.19,1.8540050000000001
ENSG00000006747.15,0.0
ENSG00000006756.16,0.69815
ENSG00000006757.12,0.382495
ENSG00000006788.14,0.0
ENSG00000006831.10,22.03304
ENSG00000006837.12,0.20869100000000002
ENSG00000007001.14,0.0
ENSG00000007038.11,0.0
ENSG00000007047.16,0.998332
ENSG00000007062.12,0.02475
ENSG00000007080.11,1.9208990000000001
ENSG00000007129.18,0.786362
ENSG00000007168.15,8.809921000000001
ENSG00000007171.19,0.0
ENSG00000007174.18,0.0
ENSG00000007202.16,5.444505
ENSG00000007216.16,0.0
ENSG00000007237.19,4.361334
ENSG00000007255.10,0.824228
ENSG00000007264.15,0.182504
ENSG00000007306.15,0.0
ENSG00000007312.14,2.664129
ENSG00000007314.12,0.0
ENSG00000007341.19,6.3454630000000005
ENSG00000007350.18,0.847766
ENSG00000007372.25,0.008972
ENSG00000007376.8,0.369072
ENSG00000007384.15,0.022116
ENSG00000007392.17,2.9746110000000003
ENSG00000007402.12,0.0
