gene,TPM
ENSG00000000003.16,2.108312
ENSG00000000005.6,0.0
ENSG00000000419.14,56.028698
ENSG00000000457.14,3.648671
ENSG00000000460.17,1.707042
ENSG00000000938.13,19.087463
ENSG00000000971.17,28.631887
ENSG00000001036.14,7.601506
ENSG00000001084.13,17.623362
ENSG00000001167.15,4.608468
ENSG00000001460.18,12.456418
ENSG00000001461.19,5.002303
ENSG00000001497.18,16.703395999999998
ENSG00000001561.7,7.348883
ENSG00000001617.12,0.999904
ENSG00000001626.18,13.867444
ENSG00000001629.10,28.739156
ENSG00000001630.18,41.070422
ENSG00000001631.17,35.699659
ENSG00000002016.18,3.55565
ENSG00000002330.14,2.320278
ENSG00000002549.13,13.900122
ENSG00000002586.20,74.595396
ENSG00000002587.10,0.945497
ENSG00000002726.21,3.588571
ENSG00000002745.13,0.0
ENSG00000002746.15,7.304572
ENSG00000002822.16,22.064166
ENSG00000002834.19,80.13181999999999
ENSG00000002919.15,25.125884999999997
ENSG00000002933.9,5.599418
ENSG00000003056.8,33.487491
ENSG00000003096.15,0.32676
ENSG00000003137.9,2.049271
ENSG00000003147.19,29.982247
ENSG00000003249.15,0.9536729999999999
ENSG00000003393.16,46.355473
ENSG00000003400.16,31.422584999999998
ENSG00000003402.21,179.663978
ENSG00000003436.16,22.080592
ENSG00000003509.16,10.960539
ENSG00000003756.17,118.37563800000001
ENSG00000003987.14,2.067805
ENSG00000003989.18,1.2361469999999999
ENSG00000004059.11,45.814195
ENSG00000004139.14,1.95823
ENSG00000004142.12,4.04224
ENSG00000004399.13,16.553407999999997
ENSG00000004455.18,48.345806
ENSG00000004468.13,17.778209
ENSG00000004478.8,22.602377
ENSG00000004487.18,35.932629
ENSG00000004534.15,80.342766
ENSG00000004660.15,7.382694
ENSG00000004700.16,6.699671
ENSG00000004766.17,27.029897000000002
ENSG00000004776.13,0.0
ENSG00000004777.19,4.516623
ENSG00000004779.10,4.50443
ENSG00000004799.8,0.736837
ENSG00000004809.14,2.545318
ENSG00000004838.14,2.6397839999999997
ENSG00000004846.17,13.429881000000002
ENSG00000004848.8,0.618658
ENSG00000004864.14,23.572309
ENSG00000004866.22,10.573951
ENSG00000004897.12,74.01567399999999
ENSG00000004939.16,26.640714
ENSG00000004948.16,0.247702
ENSG00000004961.15,3.0605580000000003
ENSG00000004975.12,12.106105
ENSG00000005001.10,2.15739
ENSG00000005007.14,9.966671999999999
ENSG00000005020.13,25.921511000000002
ENSG00000005022.6,33.231773
ENSG00000005059.16,5.145147
ENSG00000005073.6,2.021927
ENSG00000005075.16,12.992797
ENSG00000005100.13,4.31942
ENSG00000005102.14,2.632221
ENSG00000005108.17,0.482812
ENSG00000005156.12,37.301181
ENSG00000005175.10,24.141118
ENSG00000005187.12,40.227253
ENSG00000005189.20,12.69448
ENSG00000005194.15,1.818276
ENSG00000005206.17,4.691409999999999
ENSG00000005238.20,3.470093
ENSG00000005243.10,2.898693
ENSG00000005249.14,142.487283
ENSG00000005302.19,8.536439
ENSG00000005339.15,38.618462
ENSG00000005379.17,4.314105
ENSG00000005381.9,47.587792
ENSG00000005421.9,0.757459
ENSG00000005436.14,10.034414
ENSG00000005448.17,16.482923
ENSG00000005469.12,1.110377
ENSG00000005471.19,3.6571439999999997
ENSG00000005483.23,200.853333
ENSG00000005486.17,10.642275999999999
ENSG00000005513.11,0.581579
ENSG00000005700.15,12.702065999999999
ENSG00000005801.18,14.056044
ENSG00000005810.20,104.334079
ENSG00000005812.11,29.538961999999998
ENSG00000005844.19,45.392508
ENSG00000005882.12,5.797104
ENSG00000005884.18,16.953104
ENSG00000005889.16,18.223951
ENSG00000005893.17,35.60457
ENSG00000005961.19,80.704381
ENSG00000005981.13,2.446185
ENSG00000006007.12,23.141045
ENSG00000006015.18,25.414587
ENSG00000006016.12,0.986034
ENSG00000006025.13,1.168952
ENSG00000006042.12,55.417676
ENSG00000006047.13,0.384679
ENSG00000006059.4,0.0
ENSG00000006062.18,1.38131
ENSG00000006071.16,15.15035
ENSG00000006116.4,0.963069
ENSG00000006118.15,1.680506
ENSG00000006125.18,22.59497
ENSG00000006128.12,0.0
ENSG00000006194.12,4.099575
ENSG00000006210.7,3.534208
ENSG00000006282.22,9.06679
ENSG00000006283.18,0.131167
ENSG00000006327.14,0.0
ENSG00000006377.11,4.03001
ENSG00000006432.16,3.313217
ENSG00000006451.8,9.895285999999999
ENSG00000006453.14,5.799067
ENSG00000006459.11,9.593672
ENSG00000006468.15,3.818877
ENSG00000006530.18,24.886873
ENSG00000006534.17,9.538606
ENSG00000006555.11,2.642557
ENSG00000006576.17,5.340394000000001
ENSG00000006606.9,0.0
ENSG00000006607.14,24.928378000000002
ENSG00000006611.17,5.125496999999999
ENSG00000006625.18,24.295482
ENSG00000006634.8,26.813689999999998
ENSG00000006638.13,47.992567
ENSG00000006652.15,123.487115
ENSG00000006659.13,0.0
ENSG00000006695.12,5.202526000000001
ENSG00000006704.11,4.378525
ENSG00000006712.15,28.547283
ENSG00000006715.16,13.950032
ENSG00000006740.18,1.873725
ENSG00000006744.19,11.983366
ENSG00000006747.15,5.110924
ENSG00000006756.16,16.308232
ENSG00000006757.12,0.265628
ENSG00000006788.14,1.467507
ENSG00000006831.10,11.441861
ENSG00000006837.12,6.939263
ENSG00000007001.14,9.296460999999999
ENSG00000007038.11,19.834435
ENSG00000007047.16,5.869204
ENSG00000007062.12,9.212325
ENSG00000007080.11,5.907419
ENSG00000007129.18,7.430337
ENSG00000007168.15,53.195312
ENSG00000007171.19,4.923029
ENSG00000007174.18,4.754306
ENSG00000007202.16,26.194224000000002
ENSG00000007216.16,0.783066
ENSG00000007237.19,19.219751
ENSG00000007255.10,3.17535
ENSG00000007264.15,10.571422
ENSG00000007306.15,1.144865
ENSG00000007312.14,9.942481
ENSG00000007314.12,1.436265
ENSG00000007341.19,16.820852000000002
ENSG00000007350.18,0.358603
ENSG00000007372.25,3.7839490000000002
ENSG00000007376.8,1.344165
ENSG00000007384.15,1.6719849999999998
ENSG00000007392.17,39.786319
ENSG00000007402.12,1.876068
ENSG00000007516.15,0.367514
ENSG00000007520.4,4.034778
ENSG00000007541.17,3.245817
ENSG00000007545.16,3.9739739999999997
ENSG00000007866.22,0.658211
ENSG00000007908.16,0.261757
ENSG00000007923.17,14.367601
ENSG00000007933.13,10.478844
ENSG00000007944.16,29.374243
ENSG00000007952.18,0.537657
ENSG00000007968.7,12.231314
ENSG00000008018.9,44.605706
ENSG00000008056.14,0.0
ENSG00000008083.14,31.804624
ENSG00000008086.13,22.061276000000003
ENSG00000008118.10,2.62043
ENSG00000008128.23,69.864283
ENSG00000008130.15,30.458205
ENSG00000008196.13,0.617659
ENSG00000008197.5,0.891379
ENSG00000008226.20,1.724453
ENSG00000008256.17,2.73703
ENSG00000008277.15,10.321947
ENSG00000008282.10,42.411195
ENSG00000008283.16,15.711425
ENSG00000008294.22,93.08927
ENSG00000008300.17,0.573068
ENSG00000008311.16,28.353586
ENSG00000008323.16,9.231041999999999
ENSG00000008324.12,4.809096
ENSG00000008382.16,1.317877
ENSG00000008394.13,25.427993999999998
ENSG00000008405.12,4.362463999999999
ENSG00000008438.5,34.101534
ENSG00000008441.19,5.869485
ENSG00000008513.17,33.874531
ENSG00000008516.19,4.325384
ENSG00000008517.19,5.332396999999999
ENSG00000008710.20,23.673919
ENSG00000008735.14,0.932702
ENSG00000008838.21,18.661082
ENSG00000008853.18,1.586085
ENSG00000008869.12,14.865839000000001
ENSG00000008952.17,59.820043
ENSG00000008988.11,2125.032365
ENSG00000009307.17,268.66375800000003
ENSG00000009335.19,19.261884000000002
ENSG00000009413.17,40.515258
ENSG00000009694.14,3.218867
ENSG00000009709.13,1.105261
ENSG00000009724.18,0.937837
ENSG00000009765.15,14.864082
ENSG00000009780.16,11.491691000000001
ENSG00000009790.15,34.341577
ENSG00000009830.13,22.611339
ENSG00000009844.16,10.308052
ENSG00000009950.16,36.180041
ENSG00000009954.11,12.433073
ENSG00000010017.13,23.856894
ENSG00000010030.14,1.275082
ENSG00000010072.16,2.153067
ENSG00000010165.20,1.562678
ENSG00000010219.14,33.602744
ENSG00000010244.19,125.716823
ENSG00000010256.12,13.837874
ENSG00000010270.14,16.110273
ENSG00000010278.15,252.47423500000002
ENSG00000010282.15,7.018326
ENSG00000010292.13,24.81097
ENSG00000010295.20,2.430626
ENSG00000010310.9,7.675039
ENSG00000010318.22,10.807277
ENSG00000010319.7,0.874075
ENSG00000010322.16,8.347558000000001
ENSG00000010327.10,11.726476
ENSG00000010361.14,4.818885
ENSG00000010379.16,1.373449
ENSG00000010404.18,43.390225
ENSG00000010438.17,5.685638
ENSG00000010539.12,9.211342
ENSG00000010610.10,13.09987
ENSG00000010626.15,12.927506
ENSG00000010671.18,219.154955
ENSG00000010704.20,25.033109
ENSG00000010803.18,9.605131
ENSG00000010810.18,33.8862
ENSG00000010818.11,2.090731
ENSG00000010932.17,0.849235
ENSG00000011007.13,3.073035
ENSG00000011009.12,2.367393
ENSG00000011021.23,28.421682999999998
ENSG00000011028.14,1.277139
ENSG00000011052.21,0.0
ENSG00000011083.9,0.372364
ENSG00000011105.14,7.222626
ENSG00000011114.15,17.389924
ENSG00000011132.12,5.241118
ENSG00000011143.19,7.02177
ENSG00000011198.10,35.834295
ENSG00000011201.12,0.138369
