gene,TPM
ENSG00000000003.16,0.0
ENSG00000000005.6,0.0
ENSG00000000419.14,12.56554
ENSG00000000457.14,2.969916
ENSG00000000460.17,2.341588
ENSG00000000938.13,51.56989900000001
ENSG00000000971.17,1.216008
ENSG00000001036.14,2.018789
ENSG00000001084.13,29.295572
ENSG00000001167.15,8.651299
ENSG00000001460.18,0.708604
ENSG00000001461.19,4.817639
ENSG00000001497.18,18.893377
ENSG00000001561.7,0.948914
ENSG00000001617.12,0.048524
ENSG00000001626.18,0.0
ENSG00000001629.10,16.496667
ENSG00000001630.18,0.167735
ENSG00000001631.17,16.209901000000002
ENSG00000002016.18,5.511564
ENSG00000002330.14,3.6087759999999998
ENSG00000002549.13,21.922001
ENSG00000002586.20,63.806791000000004
ENSG00000002587.10,0.062437
ENSG00000002726.21,0.065219
ENSG00000002745.13,0.099121
ENSG00000002746.15,0.0
ENSG00000002822.16,31.863195
ENSG00000002834.19,60.126991000000004
ENSG00000002919.15,6.620178999999999
ENSG00000002933.9,4.386515999999999
ENSG00000003056.8,34.371109000000004
ENSG00000003096.15,0.077248
ENSG00000003137.9,0.0
ENSG00000003147.19,2.030977
ENSG00000003249.15,0.255128
ENSG00000003393.16,2.336566
ENSG00000003400.16,10.905807
ENSG00000003402.21,176.38940399999998
ENSG00000003436.16,3.789658
ENSG00000003509.16,3.5889
ENSG00000003756.17,436.49283099999997
ENSG00000003987.14,0.0
ENSG00000003989.18,0.0
ENSG00000004059.11,16.529767
ENSG00000004139.14,0.487717
ENSG00000004142.12,1.425073
ENSG00000004399.13,5.104383
ENSG00000004455.18,11.672837
ENSG00000004468.13,5.685107
ENSG00000004478.8,4.726702
ENSG00000004487.18,9.135801
ENSG00000004534.15,46.178341
ENSG00000004660.15,1.44327
ENSG00000004700.16,17.219421
ENSG00000004766.17,18.584732
ENSG00000004776.13,0.0
ENSG00000004777.19,0.326
ENSG00000004779.10,20.157201
ENSG00000004799.8,1.372682
ENSG00000004809.14,0.38004
ENSG00000004838.14,0.0
ENSG00000004846.17,0.222457
ENSG00000004848.8,0.0
ENSG00000004864.14,4.815666
ENSG00000004866.22,3.223437
ENSG00000004897.12,34.715507
ENSG00000004939.16,170.10166900000002
ENSG00000004948.16,0.0
ENSG00000004961.15,5.706163
ENSG00000004975.12,4.706158
ENSG00000005001.10,0.0
ENSG00000005007.14,9.13806
ENSG00000005020.13,72.596745
ENSG00000005022.6,23.989207
ENSG00000005059.16,13.441335
ENSG00000005073.6,0.0
ENSG00000005075.16,45.116145
ENSG00000005100.13,2.449395
ENSG00000005102.14,0.509304
ENSG00000005108.17,0.082942
ENSG00000005156.12,10.553938
ENSG00000005175.10,15.483025
ENSG00000005187.12,3.830424
ENSG00000005189.20,0.326983
ENSG00000005194.15,3.567353
ENSG00000005206.17,4.569051
ENSG00000005238.20,11.382197
ENSG00000005243.10,0.287586
ENSG00000005249.14,12.814538
ENSG00000005302.19,19.976652
ENSG00000005339.15,57.769711
ENSG00000005379.17,2.6748589999999997
ENSG00000005381.9,1.950874
ENSG00000005421.9,0.0
ENSG00000005436.14,2.62472
ENSG00000005448.17,2.58094
ENSG00000005469.12,1.874127
ENSG00000005471.19,0.917613
ENSG00000005483.23,51.440634
ENSG00000005486.17,3.280812
ENSG00000005513.11,0.126511
ENSG00000005700.15,4.942149000000001
ENSG00000005801.18,3.545001
ENSG00000005810.20,23.541872
ENSG00000005812.11,24.387415999999998
ENSG00000005844.19,90.442241
ENSG00000005882.12,1.615524
ENSG00000005884.18,1.077296
ENSG00000005889.16,9.981337
ENSG00000005893.17,13.854040000000001
ENSG00000005961.19,6.621931999999999
ENSG00000005981.13,0.0
ENSG00000006007.12,11.219139
ENSG00000006015.18,4.229015
ENSG00000006016.12,0.0
ENSG00000006025.13,1.249654
ENSG00000006042.12,0.0
ENSG00000006047.13,0.0
ENSG00000006059.4,0.0
ENSG00000006062.18,10.930758
ENSG00000006071.16,0.037604
ENSG00000006116.4,0.0
ENSG00000006118.15,0.325869
ENSG00000006125.18,19.601592
ENSG00000006128.12,0.0
ENSG00000006194.12,1.406208
ENSG00000006210.7,0.018097
ENSG00000006282.22,1.7919999999999998
ENSG00000006283.18,0.116871
ENSG00000006327.14,2.110889
ENSG00000006377.11,0.0
ENSG00000006432.16,0.8774679999999999
ENSG00000006451.8,19.887042
ENSG00000006453.14,0.0
ENSG00000006459.11,17.152753
ENSG00000006468.15,0.036572
ENSG00000006530.18,5.320885
ENSG00000006534.17,7.643006000000001
ENSG00000006555.11,1.168756
ENSG00000006576.17,4.2580729999999996
ENSG00000006606.9,0.0
ENSG00000006607.14,2.3494550000000003
ENSG00000006611.17,0.0
ENSG00000006625.18,2.8380609999999997
ENSG00000006634.8,11.284545999999999
ENSG00000006638.13,0.480536
ENSG00000006652.15,11.760597
ENSG00000006659.13,0.0
ENSG00000006695.12,4.0411909999999995
ENSG00000006704.11,0.025596
ENSG00000006712.15,20.599376
ENSG00000006715.16,28.49397
ENSG00000006740.18,0.0
ENSG00000006744.19,3.5999350000000003
ENSG00000006747.15,0.123921
ENSG00000006756.16,0.669113
ENSG00000006757.12,1.029417
ENSG00000006788.14,0.050759
ENSG00000006831.10,10.42976
ENSG00000006837.12,0.26865700000000003
ENSG00000007001.14,0.0
ENSG00000007038.11,0.0
ENSG00000007047.16,12.214844
ENSG00000007062.12,0.0
ENSG00000007080.11,33.265488
ENSG00000007129.18,3.206051
ENSG00000007168.15,16.708139
ENSG00000007171.19,0.208774
ENSG00000007174.18,0.0
ENSG00000007202.16,19.675244
ENSG00000007216.16,0.0
ENSG00000007237.19,15.827048999999999
ENSG00000007255.10,2.233914
ENSG00000007264.15,21.277343000000002
ENSG00000007306.15,0.0
ENSG00000007312.14,8.511814000000001
ENSG00000007314.12,0.057109
ENSG00000007341.19,1.210693
ENSG00000007350.18,1.131728
ENSG00000007372.25,0.0
ENSG00000007376.8,1.033324
ENSG00000007384.15,0.0
ENSG00000007392.17,36.258185
ENSG00000007402.12,0.544006
ENSG00000007516.15,0.129822
ENSG00000007520.4,9.21362
ENSG00000007541.17,0.414424
