gene,TPM
ENSG00000000003.16,0.05897
ENSG00000000005.6,0.018179
ENSG00000000419.14,2.679453
ENSG00000000457.14,1.242655
ENSG00000000460.17,0.5734689999999999
ENSG00000000938.13,28.132349
ENSG00000000971.17,0.433477
ENSG00000001036.14,1.441259
ENSG00000001084.13,2.1175360000000003
ENSG00000001167.15,1.5501239999999998
ENSG00000001460.18,0.294595
ENSG00000001461.19,1.441179
ENSG00000001497.18,0.527461
ENSG00000001561.7,0.197548
ENSG00000001617.12,0.0
ENSG00000001626.18,0.014293
ENSG00000001629.10,1.935825
ENSG00000001630.18,0.805466
ENSG00000001631.17,2.344522
ENSG00000002016.18,1.488297
ENSG00000002330.14,2.260221
ENSG00000002549.13,8.24694
ENSG00000002586.20,3.542873
ENSG00000002587.10,0.188285
ENSG00000002726.21,0.039396
ENSG00000002745.13,0.038911
ENSG00000002746.15,0.098424
ENSG00000002822.16,2.3327549999999997
ENSG00000002834.19,3.838044
ENSG00000002919.15,6.839499
ENSG00000002933.9,1.026627
ENSG00000003056.8,11.496877
ENSG00000003096.15,0.025989
ENSG00000003137.9,0.014889
ENSG00000003147.19,0.288526
ENSG00000003249.15,0.033363
ENSG00000003393.16,1.793861
ENSG00000003400.16,3.480114
ENSG00000003402.21,68.846486
ENSG00000003436.16,0.875943
ENSG00000003509.16,1.20619
ENSG00000003756.17,20.784534999999998
ENSG00000003987.14,0.23477900000000002
ENSG00000003989.18,0.004752
ENSG00000004059.11,2.973332
ENSG00000004139.14,0.15962700000000002
ENSG00000004142.12,1.108597
ENSG00000004399.13,1.464725
ENSG00000004455.18,4.698496
ENSG00000004468.13,1.89506
ENSG00000004478.8,0.6767569999999999
ENSG00000004487.18,1.8164
ENSG00000004534.15,6.45731
ENSG00000004660.15,0.609036
ENSG00000004700.16,2.192098
ENSG00000004766.17,3.435246
ENSG00000004776.13,0.04897
ENSG00000004777.19,0.131772
ENSG00000004779.10,2.824129
ENSG00000004799.8,3.01711
ENSG00000004809.14,0.199492
ENSG00000004838.14,0.15923199999999998
ENSG00000004846.17,0.23296399999999998
ENSG00000004848.8,0.006568
ENSG00000004864.14,5.484294
ENSG00000004866.22,0.395572
ENSG00000004897.12,4.831545
ENSG00000004939.16,11.755275000000001
ENSG00000004948.16,0.002613
ENSG00000004961.15,0.632338
ENSG00000004975.12,0.258007
ENSG00000005001.10,0.0
ENSG00000005007.14,4.6646339999999995
ENSG00000005020.13,3.54566
ENSG00000005022.6,7.174354999999999
ENSG00000005059.16,2.19617
ENSG00000005073.6,0.007177
ENSG00000005075.16,2.365551
ENSG00000005100.13,0.328625
ENSG00000005102.14,0.007162
ENSG00000005108.17,0.004171
ENSG00000005156.12,1.113327
ENSG00000005175.10,1.274787
ENSG00000005187.12,0.711653
ENSG00000005189.20,0.270088
ENSG00000005194.15,1.178019
ENSG00000005206.17,1.220421
ENSG00000005238.20,2.2170829999999997
ENSG00000005243.10,0.129986
ENSG00000005249.14,2.169441
ENSG00000005302.19,3.300417
ENSG00000005339.15,6.470032
ENSG00000005379.17,0.217435
ENSG00000005381.9,0.151026
ENSG00000005421.9,0.008101
ENSG00000005436.14,0.55312
ENSG00000005448.17,0.352847
ENSG00000005469.12,0.34709
ENSG00000005471.19,0.23094599999999998
ENSG00000005483.23,11.256032
ENSG00000005486.17,0.571767
ENSG00000005513.11,0.003081
ENSG00000005700.15,1.335064
ENSG00000005801.18,2.0175
ENSG00000005810.20,8.874837
ENSG00000005812.11,4.052521
ENSG00000005844.19,14.016774
ENSG00000005882.12,0.395606
ENSG00000005884.18,0.688523
ENSG00000005889.16,3.371992
ENSG00000005893.17,11.282599
ENSG00000005961.19,0.950462
ENSG00000005981.13,0.061036
ENSG00000006007.12,3.3024780000000002
ENSG00000006015.18,5.284265
ENSG00000006016.12,0.268243
ENSG00000006025.13,0.379866
ENSG00000006042.12,1.588126
ENSG00000006047.13,0.0
ENSG00000006059.4,0.0
ENSG00000006062.18,0.33025699999999997
ENSG00000006071.16,0.078862
ENSG00000006116.4,0.0
ENSG00000006118.15,0.767973
ENSG00000006125.18,4.333423
ENSG00000006128.12,0.011406
ENSG00000006194.12,1.0246520000000001
ENSG00000006210.7,0.046006
ENSG00000006282.22,0.623412
ENSG00000006283.18,0.001867
ENSG00000006327.14,0.8843570000000001
ENSG00000006377.11,0.01912
ENSG00000006432.16,0.073458
ENSG00000006451.8,1.014403
ENSG00000006453.14,0.642297
ENSG00000006459.11,4.1216360000000005
ENSG00000006468.15,0.058169
ENSG00000006530.18,2.1887529999999997
ENSG00000006534.17,1.485783
ENSG00000006555.11,0.204177
ENSG00000006576.17,1.00518
ENSG00000006606.9,0.0
ENSG00000006607.14,1.814829
ENSG00000006611.17,0.005804
ENSG00000006625.18,0.321736
ENSG00000006634.8,0.543248
ENSG00000006638.13,1.4872
ENSG00000006652.15,10.233629
ENSG00000006659.13,0.0
ENSG00000006695.12,0.6168089999999999
ENSG00000006704.11,0.150034
ENSG00000006712.15,0.9804289999999999
ENSG00000006715.16,9.957425
ENSG00000006740.18,0.074087
ENSG00000006744.19,1.932304
ENSG00000006747.15,0.061309
ENSG00000006756.16,0.899191
ENSG00000006757.12,0.15958699999999998
ENSG00000006788.14,0.0
ENSG00000006831.10,3.029575
ENSG00000006837.12,0.474733
ENSG00000007001.14,0.044661
ENSG00000007038.11,0.113535
ENSG00000007047.16,0.263756
ENSG00000007062.12,0.045243000000000005
ENSG00000007080.11,0.491405
ENSG00000007129.18,1.167081
ENSG00000007168.15,5.096944
ENSG00000007171.19,0.010803
ENSG00000007174.18,0.253236
ENSG00000007202.16,4.931791
ENSG00000007216.16,0.0
ENSG00000007237.19,5.034572
