gene,TPM
ENSG00000000003.16,0.457279
ENSG00000000005.6,0.0
ENSG00000000419.14,58.017206
ENSG00000000457.14,11.243597
ENSG00000000460.17,5.106535
ENSG00000000938.13,60.612385
ENSG00000000971.17,4.646127
ENSG00000001036.14,14.657455
ENSG00000001084.13,18.983619
ENSG00000001167.15,12.00824
ENSG00000001460.18,3.115958
ENSG00000001461.19,15.028377
ENSG00000001497.18,12.191806
ENSG00000001561.7,10.332758
ENSG00000001617.12,0.099211
ENSG00000001626.18,0.351696
ENSG00000001629.10,47.67791
ENSG00000001630.18,19.197994
ENSG00000001631.17,31.767298999999998
ENSG00000002016.18,11.409383
ENSG00000002330.14,5.669202
ENSG00000002549.13,212.980725
ENSG00000002586.20,84.15583699999999
ENSG00000002587.10,0.442874
ENSG00000002726.21,1.037753
ENSG00000002745.13,0.405071
ENSG00000002746.15,1.638793
ENSG00000002822.16,9.883916000000001
ENSG00000002834.19,50.921896
ENSG00000002919.15,8.823246
ENSG00000002933.9,7.962576
ENSG00000003056.8,80.907246
ENSG00000003096.15,0.138055
ENSG00000003137.9,0.0
ENSG00000003147.19,2.586125
ENSG00000003249.15,0.39147
ENSG00000003393.16,11.306721
ENSG00000003400.16,83.45309900000001
ENSG00000003402.21,263.314065
ENSG00000003436.16,8.010342
ENSG00000003509.16,8.672088
ENSG00000003756.17,138.25404
ENSG00000003987.14,0.737197
ENSG00000003989.18,0.0
ENSG00000004059.11,30.256923
ENSG00000004139.14,1.932969
ENSG00000004142.12,17.749143
ENSG00000004399.13,5.306148
ENSG00000004455.18,60.70673
ENSG00000004468.13,375.14048
ENSG00000004478.8,11.96877
ENSG00000004487.18,29.516545
ENSG00000004534.15,73.22273799999999
ENSG00000004660.15,1.6415410000000001
ENSG00000004700.16,39.227095
ENSG00000004766.17,35.821108
ENSG00000004776.13,0.0
ENSG00000004777.19,5.251685
ENSG00000004779.10,63.444707
ENSG00000004799.8,9.870052999999999
ENSG00000004809.14,5.132588999999999
ENSG00000004838.14,0.37533
ENSG00000004846.17,0.234223
ENSG00000004848.8,0.110787
ENSG00000004864.14,2.13304
ENSG00000004866.22,14.874103999999999
ENSG00000004897.12,71.305699
ENSG00000004939.16,10.273628
ENSG00000004948.16,0.0
ENSG00000004961.15,9.1357
ENSG00000004975.12,5.375897
ENSG00000005001.10,0.0
ENSG00000005007.14,21.504143
ENSG00000005020.13,26.050735
ENSG00000005022.6,113.804959
ENSG00000005059.16,25.820657
ENSG00000005073.6,0.15313
ENSG00000005075.16,18.743325
ENSG00000005100.13,3.944488
ENSG00000005102.14,0.361302
ENSG00000005108.17,1.005875
ENSG00000005156.12,17.838617
ENSG00000005175.10,43.137323
ENSG00000005187.12,4.069075
ENSG00000005189.20,5.504307
ENSG00000005194.15,12.713656
ENSG00000005206.17,9.416302
ENSG00000005238.20,6.090248
ENSG00000005243.10,0.0
ENSG00000005249.14,10.002742999999999
ENSG00000005302.19,38.429157
ENSG00000005339.15,79.48935
ENSG00000005379.17,1.116043
ENSG00000005381.9,17.364414999999997
ENSG00000005421.9,0.0
ENSG00000005436.14,10.003483000000001
ENSG00000005448.17,6.022143
ENSG00000005469.12,3.706539
ENSG00000005471.19,1.459371
ENSG00000005483.23,112.546084
