gene,TPM
ENSG00000000003.16,0.037369
ENSG00000000005.6,0.0
ENSG00000000419.14,36.596745
ENSG00000000457.14,2.949928
ENSG00000000460.17,0.294791
ENSG00000000938.13,69.238272
ENSG00000000971.17,0.272878
ENSG00000001036.14,5.789227
ENSG00000001084.13,13.35124
ENSG00000001167.15,14.624393
ENSG00000001460.18,1.878008
ENSG00000001461.19,12.334188000000001
ENSG00000001497.18,6.241024
ENSG00000001561.7,0.849448
ENSG00000001617.12,1.133113
ENSG00000001626.18,0.0
ENSG00000001629.10,34.340647
ENSG00000001630.18,16.840543
ENSG00000001631.17,0.562368
ENSG00000002016.18,7.779932
ENSG00000002330.14,10.273115
ENSG00000002549.13,90.805764
ENSG00000002586.20,148.751997
ENSG00000002587.10,0.008897
ENSG00000002726.21,0.260289
ENSG00000002745.13,0.062437
ENSG00000002746.15,0.0
ENSG00000002822.16,27.221056
ENSG00000002834.19,827.836336
ENSG00000002919.15,8.437519
ENSG00000002933.9,4.697837
ENSG00000003056.8,71.333309
ENSG00000003096.15,0.0
ENSG00000003137.9,0.016209
ENSG00000003147.19,1.886858
ENSG00000003249.15,0.429302
ENSG00000003393.16,2.720121
ENSG00000003400.16,13.897876
ENSG00000003402.21,251.881206
ENSG00000003436.16,4.61619
ENSG00000003509.16,5.203539999999999
ENSG00000003756.17,25.927829
ENSG00000003987.14,0.0
ENSG00000003989.18,0.0
ENSG00000004059.11,217.66337600000003
ENSG00000004139.14,5.808998
ENSG00000004142.12,2.705425
ENSG00000004399.13,13.361396
ENSG00000004455.18,66.224666
ENSG00000004468.13,3.178922
ENSG00000004478.8,8.158415
ENSG00000004487.18,3.394673
ENSG00000004534.15,12.202655
ENSG00000004660.15,0.961907
ENSG00000004700.16,1.950009
ENSG00000004766.17,3.333623
ENSG00000004776.13,37.296876
ENSG00000004777.19,0.084795
ENSG00000004779.10,24.475245
ENSG00000004799.8,232.126336
ENSG00000004809.14,0.787676
ENSG00000004838.14,2.396401
ENSG00000004846.17,0.0938
ENSG00000004848.8,0.0
ENSG00000004864.14,0.3829
ENSG00000004866.22,3.85871
ENSG00000004897.12,1196.429028
ENSG00000004939.16,16.252565
ENSG00000004948.16,0.0
ENSG00000004961.15,4.568713
ENSG00000004975.12,1.994444
ENSG00000005001.10,0.0
ENSG00000005007.14,5.743133
ENSG00000005020.13,120.24473
ENSG00000005022.6,184.18437
ENSG00000005059.16,6.211521
ENSG00000005073.6,0.0
ENSG00000005075.16,26.772442
ENSG00000005100.13,1.572432
ENSG00000005102.14,1.088073
ENSG00000005108.17,0.0
ENSG00000005156.12,17.191826
ENSG00000005175.10,1.754731
ENSG00000005187.12,0.8170900000000001
ENSG00000005189.20,0.0
ENSG00000005194.15,49.602471
ENSG00000005206.17,4.951162
ENSG00000005238.20,2.98543
ENSG00000005243.10,0.679868
ENSG00000005249.14,14.092732
ENSG00000005302.19,119.612893
ENSG00000005339.15,111.235214
ENSG00000005379.17,0.236868
ENSG00000005381.9,0.7506780000000001
ENSG00000005421.9,0.0
ENSG00000005436.14,0.074985
ENSG00000005448.17,2.441015
ENSG00000005469.12,1.369097
ENSG00000005471.19,0.098585
ENSG00000005483.23,13.907071
ENSG00000005486.17,5.24113
ENSG00000005513.11,0.092083
ENSG00000005700.15,1.210051
ENSG00000005801.18,7.051683
ENSG00000005810.20,2.977424
ENSG00000005812.11,2.516576
ENSG00000005844.19,12.752466
ENSG00000005882.12,26.878173
ENSG00000005884.18,6.654511
ENSG00000005889.16,3.090796
ENSG00000005893.17,58.035043
ENSG00000005961.19,46.290138
ENSG00000005981.13,0.0
ENSG00000006007.12,34.661475
ENSG00000006015.18,6.868224
ENSG00000006016.12,0.041038
ENSG00000006025.13,0.232995
ENSG00000006042.12,0.6976979999999999
ENSG00000006047.13,0.174325
ENSG00000006059.4,0.0
ENSG00000006062.18,3.751223
ENSG00000006071.16,0.121447
ENSG00000006116.4,0.0
ENSG00000006118.15,0.0
ENSG00000006125.18,12.005999
ENSG00000006128.12,0.0
ENSG00000006194.12,0.45189900000000005
ENSG00000006210.7,0.011039
ENSG00000006282.22,14.691157
ENSG00000006283.18,0.0
ENSG00000006327.14,4.77745
ENSG00000006377.11,0.0
ENSG00000006432.16,0.17979599999999998
ENSG00000006451.8,0.236248
ENSG00000006453.14,0.018024
ENSG00000006459.11,9.966035
ENSG00000006468.15,0.826866
ENSG00000006530.18,0.057459
ENSG00000006534.17,26.828709
ENSG00000006555.11,0.8355170000000001
ENSG00000006576.17,16.328289
ENSG00000006606.9,9.246204
ENSG00000006607.14,0.665785
ENSG00000006611.17,0.0
ENSG00000006625.18,6.627726
ENSG00000006634.8,24.533951
ENSG00000006638.13,3.613759
ENSG00000006652.15,8.498349
ENSG00000006659.13,0.0
ENSG00000006695.12,13.407476
ENSG00000006704.11,0.171696
ENSG00000006712.15,31.55387
ENSG00000006715.16,32.947446
ENSG00000006740.18,0.0
ENSG00000006744.19,21.963354000000002
ENSG00000006747.15,0.0
ENSG00000006756.16,0.51583
ENSG00000006757.12,0.7379340000000001
ENSG00000006788.14,0.0
ENSG00000006831.10,2.450156
ENSG00000006837.12,0.0
ENSG00000007001.14,0.0
ENSG00000007038.11,0.325469
ENSG00000007047.16,15.482413000000001
ENSG00000007062.12,0.0
ENSG00000007080.11,52.430513000000005
ENSG00000007129.18,0.631061
ENSG00000007168.15,18.490042000000003
ENSG00000007171.19,0.0
ENSG00000007174.18,0.104395
ENSG00000007202.16,42.663272
ENSG00000007216.16,0.0
ENSG00000007237.19,366.247677
ENSG00000007255.10,42.160976
ENSG00000007264.15,19.65571
ENSG00000007306.15,0.0
ENSG00000007312.14,10.702871
ENSG00000007314.12,0.0
ENSG00000007341.19,0.055914
ENSG00000007350.18,2.967677
ENSG00000007372.25,0.0
ENSG00000007376.8,2.563696
ENSG00000007384.15,24.905155
ENSG00000007392.17,61.188113
ENSG00000007402.12,0.233994
ENSG00000007516.15,0.90611
ENSG00000007520.4,14.595915
ENSG00000007541.17,6.7344669999999995
ENSG00000007545.16,7.368152
ENSG00000007866.22,1.029814
ENSG00000007908.16,0.0
ENSG00000007923.17,82.203604
ENSG00000007933.13,0.0
ENSG00000007944.16,5.705636
ENSG00000007952.18,0.0
ENSG00000007968.7,24.474496000000002
ENSG00000008018.9,35.701021
ENSG00000008056.14,0.0
ENSG00000008083.14,6.788503
ENSG00000008086.13,0.111847
ENSG00000008118.10,0.0
ENSG00000008128.23,21.822447
ENSG00000008130.15,22.03451
ENSG00000008196.13,0.0
ENSG00000008197.5,0.0
ENSG00000008226.20,0.046026
ENSG00000008256.17,2.208543
ENSG00000008277.15,0.173912
