gene,TPM
ENSG00000000003.16,0.405856
ENSG00000000005.6,0.12184
ENSG00000000419.14,11.984655
ENSG00000000457.14,3.076137
ENSG00000000460.17,1.09768
ENSG00000000938.13,95.425932
ENSG00000000971.17,2.843462
ENSG00000001036.14,2.201101
ENSG00000001084.13,11.120554
ENSG00000001167.15,8.278607000000001
ENSG00000001460.18,2.021615
ENSG00000001461.19,15.265102
ENSG00000001497.18,5.370609
ENSG00000001561.7,1.205841
ENSG00000001617.12,0.274059
ENSG00000001626.18,5.653573
ENSG00000001629.10,11.146125
ENSG00000001630.18,3.6705080000000003
ENSG00000001631.17,11.877812
ENSG00000002016.18,6.960606
ENSG00000002330.14,12.602107
ENSG00000002549.13,10.396416
ENSG00000002586.20,51.616365
ENSG00000002587.10,0.673729
ENSG00000002726.21,0.420046
ENSG00000002745.13,0.091353
ENSG00000002746.15,0.51331
ENSG00000002822.16,41.960328000000004
ENSG00000002834.19,75.403786
ENSG00000002919.15,18.360801000000002
ENSG00000002933.9,0.868979
ENSG00000003056.8,63.973848
ENSG00000003096.15,0.15658
ENSG00000003137.9,0.016229
ENSG00000003147.19,3.594369
ENSG00000003249.15,0.818981
ENSG00000003393.16,6.51623
ENSG00000003400.16,10.465282
ENSG00000003402.21,166.223714
ENSG00000003436.16,3.1343119999999995
ENSG00000003509.16,5.7787560000000004
ENSG00000003756.17,106.725782
ENSG00000003987.14,0.075669
ENSG00000003989.18,0.021149
ENSG00000004059.11,30.416187
ENSG00000004139.14,7.081879
ENSG00000004142.12,4.707314
ENSG00000004399.13,10.877583
ENSG00000004455.18,17.214679
ENSG00000004468.13,5.238913
ENSG00000004478.8,8.390904
ENSG00000004487.18,6.791443
ENSG00000004534.15,40.124657
ENSG00000004660.15,2.809923
ENSG00000004700.16,5.946686
ENSG00000004766.17,12.547524
ENSG00000004776.13,0.070533
ENSG00000004777.19,8.335873
ENSG00000004779.10,5.241885
ENSG00000004799.8,4.116255
ENSG00000004809.14,1.042818
ENSG00000004838.14,0.495157
ENSG00000004846.17,1.355399
ENSG00000004848.8,0.025059
ENSG00000004864.14,12.808603999999999
ENSG00000004866.22,1.7474310000000002
ENSG00000004897.12,21.531953
ENSG00000004939.16,148.28504700000002
ENSG00000004948.16,0.013291
ENSG00000004961.15,2.8431290000000002
ENSG00000004975.12,7.012607
ENSG00000005001.10,0.259087
ENSG00000005007.14,30.21247
ENSG00000005020.13,17.102733
ENSG00000005022.6,16.627593
ENSG00000005059.16,16.278366
ENSG00000005073.6,0.035098
ENSG00000005075.16,5.505601
ENSG00000005100.13,1.932512
ENSG00000005102.14,0.384272
ENSG00000005108.17,0.040313
ENSG00000005156.12,32.855413999999996
ENSG00000005175.10,8.661371
ENSG00000005187.12,2.545847
ENSG00000005189.20,0.441781
ENSG00000005194.15,7.435261
ENSG00000005206.17,29.471744
ENSG00000005238.20,16.903333
ENSG00000005243.10,1.361953
ENSG00000005249.14,11.029921
ENSG00000005302.19,13.436335
ENSG00000005339.15,46.344788
ENSG00000005379.17,8.447382000000001
ENSG00000005381.9,0.41351499999999997
ENSG00000005421.9,0.026843
ENSG00000005436.14,4.396175
ENSG00000005448.17,4.126834
ENSG00000005469.12,1.80569
ENSG00000005471.19,0.857809
ENSG00000005483.23,37.825587999999996
ENSG00000005486.17,9.798269
ENSG00000005513.11,0.5308930000000001
ENSG00000005700.15,3.3849400000000003
ENSG00000005801.18,8.872406999999999
ENSG00000005810.20,41.126101
ENSG00000005812.11,17.280553
ENSG00000005844.19,119.805341
ENSG00000005882.12,9.628415
ENSG00000005884.18,4.167988
ENSG00000005889.16,26.511461999999998
ENSG00000005893.17,14.563051000000002
ENSG00000005961.19,6.973177
ENSG00000005981.13,0.219327
ENSG00000006007.12,8.369054
ENSG00000006015.18,31.863146999999998
ENSG00000006016.12,0.3456
ENSG00000006025.13,8.132661
ENSG00000006042.12,1.0636809999999999
ENSG00000006047.13,0.061567
ENSG00000006059.4,0.0
ENSG00000006062.18,7.556675
ENSG00000006071.16,0.947698
ENSG00000006116.4,0.052974
ENSG00000006118.15,0.530496
ENSG00000006125.18,13.411182
ENSG00000006128.12,0.030451
ENSG00000006194.12,6.516904
ENSG00000006210.7,0.205938
ENSG00000006282.22,7.202472
ENSG00000006283.18,0.064911
ENSG00000006327.14,1.970898
ENSG00000006377.11,0.032418
ENSG00000006432.16,1.10956
ENSG00000006451.8,12.244997
ENSG00000006453.14,0.42212099999999997
ENSG00000006459.11,10.9811
ENSG00000006468.15,0.261441
ENSG00000006530.18,9.039957
ENSG00000006534.17,10.9546
ENSG00000006555.11,4.758423
ENSG00000006576.17,6.159118
ENSG00000006606.9,0.0
ENSG00000006607.14,4.341284
ENSG00000006611.17,0.022277
ENSG00000006625.18,1.781139
ENSG00000006634.8,1.542029
ENSG00000006638.13,10.716396
ENSG00000006652.15,26.672212000000002
ENSG00000006659.13,0.126636
ENSG00000006695.12,3.57859
ENSG00000006704.11,0.90472
ENSG00000006712.15,8.850989
ENSG00000006715.16,31.112429
ENSG00000006740.18,0.19294699999999998
ENSG00000006744.19,19.251471000000002
ENSG00000006747.15,0.5929409999999999
ENSG00000006756.16,8.833411
ENSG00000006757.12,1.41797
ENSG00000006788.14,0.011451
ENSG00000006831.10,7.980593000000001
ENSG00000006837.12,1.2869950000000001
ENSG00000007001.14,0.079838
ENSG00000007038.11,2.584988
ENSG00000007047.16,7.818379
ENSG00000007062.12,0.164038
ENSG00000007080.11,20.160958
ENSG00000007129.18,10.354241
ENSG00000007168.15,25.015439999999998
ENSG00000007171.19,0.131242
ENSG00000007174.18,0.640111
ENSG00000007202.16,23.794939
ENSG00000007216.16,0.01695
ENSG00000007237.19,31.375816
ENSG00000007255.10,9.180178
ENSG00000007264.15,17.977503
ENSG00000007306.15,0.151212
ENSG00000007312.14,26.830775000000003
ENSG00000007314.12,0.197872
ENSG00000007341.19,6.201218
ENSG00000007350.18,0.72863
ENSG00000007372.25,0.458882
ENSG00000007376.8,9.584072
ENSG00000007384.15,0.20488499999999998
ENSG00000007392.17,14.588962
ENSG00000007402.12,1.2015
ENSG00000007516.15,4.3989460000000005
ENSG00000007520.4,13.226061
ENSG00000007541.17,23.80191
ENSG00000007545.16,51.762935999999996
ENSG00000007866.22,0.064552
ENSG00000007908.16,0.16772399999999998
ENSG00000007923.17,8.742684
ENSG00000007933.13,2.728578
ENSG00000007944.16,13.512013999999999
ENSG00000007952.18,0.103326
ENSG00000007968.7,6.9753229999999995
ENSG00000008018.9,14.832831
ENSG00000008056.14,0.037777
ENSG00000008083.14,7.516205
ENSG00000008086.13,7.628831
ENSG00000008118.10,0.018693
ENSG00000008128.23,22.886077999999998
ENSG00000008130.15,88.603017
ENSG00000008196.13,0.159159
ENSG00000008197.5,0.024421
ENSG00000008226.20,2.9928369999999997
ENSG00000008256.17,3.542829
ENSG00000008277.15,2.196974
ENSG00000008282.10,6.586228
ENSG00000008283.16,12.021847
ENSG00000008294.22,26.033503
ENSG00000008300.17,0.40482799999999997
ENSG00000008311.16,5.800154
ENSG00000008323.16,0.391039
ENSG00000008324.12,3.2273229999999997
ENSG00000008382.16,6.412595
ENSG00000008394.13,8.266855
ENSG00000008405.12,3.847703
ENSG00000008438.5,4.723886
ENSG00000008441.19,11.949931000000001
ENSG00000008513.17,49.672446
ENSG00000008516.19,61.186903
ENSG00000008517.19,135.676313
ENSG00000008710.20,32.531349
ENSG00000008735.14,0.49577400000000005
ENSG00000008838.21,14.498416
ENSG00000008853.18,3.407483
ENSG00000008869.12,5.6917480000000005
ENSG00000008952.17,32.816329
ENSG00000008988.11,259.19820599999997
ENSG00000009307.17,48.397815
ENSG00000009335.19,18.338596
ENSG00000009413.17,6.035368
ENSG00000009694.14,0.32926500000000003
ENSG00000009709.13,0.036359
ENSG00000009724.18,0.070603
ENSG00000009765.15,2.575932
ENSG00000009780.16,3.577318
ENSG00000009790.15,81.842498
ENSG00000009830.13,10.097735
ENSG00000009844.16,5.078239
ENSG00000009950.16,2.8281940000000003
ENSG00000009954.11,5.729476
ENSG00000010017.13,5.014837
ENSG00000010030.14,0.633439
ENSG00000010072.16,4.8408999999999995
ENSG00000010165.20,4.239583
ENSG00000010219.14,4.553408
ENSG00000010244.19,64.324284
ENSG00000010256.12,14.35431
ENSG00000010270.14,3.08459
ENSG00000010278.15,3.524017
ENSG00000010282.15,0.048628
ENSG00000010292.13,13.535494
ENSG00000010295.20,12.473583
ENSG00000010310.9,2.924042
ENSG00000010318.22,2.839661
ENSG00000010319.7,0.256005
ENSG00000010322.16,40.044042
ENSG00000010327.10,9.7873
ENSG00000010361.14,5.924036
ENSG00000010379.16,0.051885
ENSG00000010404.18,35.833363
ENSG00000010438.17,0.061667
ENSG00000010539.12,7.543022000000001
ENSG00000010610.10,33.892136
ENSG00000010626.15,2.025715
ENSG00000010671.18,31.362755
ENSG00000010704.20,5.098374
ENSG00000010803.18,5.144548
ENSG00000010810.18,169.722001
ENSG00000010818.11,15.723214
ENSG00000010932.17,0.015331
ENSG00000011007.13,6.993966
ENSG00000011009.12,22.33881
ENSG00000011021.23,9.483705
ENSG00000011028.14,2.8926659999999997
ENSG00000011052.21,0.0
ENSG00000011083.9,0.058872
ENSG00000011105.14,1.7716539999999998
ENSG00000011114.15,6.463624
ENSG00000011132.12,9.349782000000001
ENSG00000011143.19,2.731154
ENSG00000011198.10,12.311145999999999
ENSG00000011201.12,0.158204
ENSG00000011243.19,22.158217
ENSG00000011258.16,5.09975
ENSG00000011260.14,5.686916
ENSG00000011275.19,20.46182
ENSG00000011295.16,20.684283
