gene,TPM
ENSG00000000003.16,0.256945
ENSG00000000005.6,0.0
ENSG00000000419.14,15.292359
ENSG00000000457.14,4.2685949999999995
ENSG00000000460.17,6.0162320000000005
ENSG00000000938.13,76.790516
ENSG00000000971.17,5.010607
ENSG00000001036.14,1.569062
ENSG00000001084.13,16.344697
ENSG00000001167.15,9.695488000000001
ENSG00000001460.18,1.429482
ENSG00000001461.19,7.07039
ENSG00000001497.18,5.1789439999999995
ENSG00000001561.7,2.746229
ENSG00000001617.12,0.0
ENSG00000001626.18,2.196577
ENSG00000001629.10,29.089299
ENSG00000001630.18,0.502765
ENSG00000001631.17,16.807791
ENSG00000002016.18,3.5395209999999997
ENSG00000002330.14,2.3851709999999997
ENSG00000002549.13,14.646044
ENSG00000002586.20,78.90892600000001
ENSG00000002587.10,0.551527
ENSG00000002726.21,0.0
ENSG00000002745.13,0.293052
ENSG00000002746.15,1.648896
ENSG00000002822.16,5.599342
ENSG00000002834.19,51.389855
ENSG00000002919.15,21.913961
ENSG00000002933.9,0.27712
ENSG00000003056.8,35.706274
ENSG00000003096.15,0.070782
ENSG00000003137.9,0.0
ENSG00000003147.19,3.532931
ENSG00000003249.15,0.617002
ENSG00000003393.16,9.629646
ENSG00000003400.16,12.059781000000001
ENSG00000003402.21,288.144384
ENSG00000003436.16,4.233643
ENSG00000003509.16,8.153447
ENSG00000003756.17,102.50685
ENSG00000003987.14,0.0
ENSG00000003989.18,0.0
ENSG00000004059.11,34.235051999999996
ENSG00000004139.14,1.819124
ENSG00000004142.12,3.309147
ENSG00000004399.13,6.085676
ENSG00000004455.18,16.848606
ENSG00000004468.13,4.877599
ENSG00000004478.8,5.918382
ENSG00000004487.18,6.579446
ENSG00000004534.15,32.406362
ENSG00000004660.15,0.900997
ENSG00000004700.16,6.060759
ENSG00000004766.17,17.788457
ENSG00000004776.13,0.166035
ENSG00000004777.19,0.216525
ENSG00000004779.10,3.812334
ENSG00000004799.8,2.07526
ENSG00000004809.14,0.611226
ENSG00000004838.14,0.7764129999999999
ENSG00000004846.17,0.56363
ENSG00000004848.8,0.0
ENSG00000004864.14,5.478586
ENSG00000004866.22,3.870966
ENSG00000004897.12,76.86885600000001
ENSG00000004939.16,108.803304
ENSG00000004948.16,0.0
ENSG00000004961.15,4.29769
ENSG00000004975.12,5.473387
ENSG00000005001.10,0.0
ENSG00000005007.14,10.817693
ENSG00000005020.13,84.453669
ENSG00000005022.6,16.690516
ENSG00000005059.16,18.56203
ENSG00000005073.6,0.0
ENSG00000005075.16,10.615188
ENSG00000005100.13,1.888392
ENSG00000005102.14,0.086946
ENSG00000005108.17,0.0
ENSG00000005156.12,7.712082
ENSG00000005175.10,14.656938
ENSG00000005187.12,2.253889
ENSG00000005189.20,3.964105
ENSG00000005194.15,8.307958
ENSG00000005206.17,4.048207
ENSG00000005238.20,17.442979
ENSG00000005243.10,0.0
ENSG00000005249.14,28.514142
ENSG00000005302.19,32.694317
ENSG00000005339.15,53.646085
ENSG00000005379.17,1.281843
ENSG00000005381.9,0.24635400000000002
ENSG00000005421.9,0.080267
ENSG00000005436.14,4.997235
ENSG00000005448.17,2.528586
ENSG00000005469.12,1.7026649999999999
ENSG00000005471.19,0.866584
ENSG00000005483.23,87.242147
ENSG00000005486.17,14.513995000000001
ENSG00000005513.11,0.07533
ENSG00000005700.15,5.4670760000000005
ENSG00000005801.18,4.356166
ENSG00000005810.20,51.85609
ENSG00000005812.11,34.646108999999996
ENSG00000005844.19,134.27100099999998
ENSG00000005882.12,11.054793
ENSG00000005884.18,1.633904
ENSG00000005889.16,16.097953999999998
ENSG00000005893.17,39.425722
ENSG00000005961.19,15.566467
ENSG00000005981.13,0.849598
ENSG00000006007.12,20.429565
ENSG00000006015.18,8.496295
ENSG00000006016.12,0.0
ENSG00000006025.13,2.726153
ENSG00000006042.12,4.8699319999999995
ENSG00000006047.13,0.050048
ENSG00000006059.4,0.0
ENSG00000006062.18,3.276195
ENSG00000006071.16,0.371428
ENSG00000006116.4,0.0
ENSG00000006118.15,0.7520389999999999
ENSG00000006125.18,23.681022
ENSG00000006128.12,0.0
ENSG00000006194.12,2.672866
ENSG00000006210.7,0.092987
ENSG00000006282.22,0.499304
ENSG00000006283.18,0.0
ENSG00000006327.14,0.484153
ENSG00000006377.11,0.0
ENSG00000006432.16,0.655668
ENSG00000006451.8,4.838776
ENSG00000006453.14,1.634023
ENSG00000006459.11,24.391966
ENSG00000006468.15,0.0
ENSG00000006530.18,8.795049
ENSG00000006534.17,2.822038
ENSG00000006555.11,2.691201
ENSG00000006576.17,11.173649
ENSG00000006606.9,0.0
ENSG00000006607.14,6.9475240000000005
ENSG00000006611.17,0.0
ENSG00000006625.18,3.64504
ENSG00000006634.8,10.119664
ENSG00000006638.13,4.245437
ENSG00000006652.15,50.639173
ENSG00000006659.13,0.0
ENSG00000006695.12,2.612191
ENSG00000006704.11,0.23114
ENSG00000006712.15,17.027039000000002
ENSG00000006715.16,24.500886
ENSG00000006740.18,0.334859
ENSG00000006744.19,9.707981
ENSG00000006747.15,0.7502800000000001
ENSG00000006756.16,6.698293
ENSG00000006757.12,0.339209
ENSG00000006788.14,0.0
ENSG00000006831.10,5.64046
ENSG00000006837.12,1.416352
ENSG00000007001.14,0.0
ENSG00000007038.11,1.2537530000000001
ENSG00000007047.16,7.03327
ENSG00000007062.12,0.10493
ENSG00000007080.11,5.038663
ENSG00000007129.18,8.991826
ENSG00000007168.15,57.769927
ENSG00000007171.19,0.044806
ENSG00000007174.18,0.411485
ENSG00000007202.16,19.89001
ENSG00000007216.16,0.0
ENSG00000007237.19,21.925918000000003
ENSG00000007255.10,0.777958
ENSG00000007264.15,2.545206
ENSG00000007306.15,0.0
ENSG00000007312.14,18.649593
ENSG00000007314.12,0.028855
ENSG00000007341.19,7.002957
ENSG00000007350.18,1.070075
ENSG00000007372.25,0.0
ENSG00000007376.8,1.9964469999999999
ENSG00000007384.15,0.0
ENSG00000007392.17,15.798093000000001
ENSG00000007402.12,0.587277
ENSG00000007516.15,1.81128
ENSG00000007520.4,4.69903
ENSG00000007541.17,2.177226
ENSG00000007545.16,1.251759
ENSG00000007866.22,0.170219
ENSG00000007908.16,0.0
ENSG00000007923.17,7.934927
ENSG00000007933.13,3.734829
ENSG00000007944.16,13.183018
ENSG00000007952.18,0.0
ENSG00000007968.7,6.266655
ENSG00000008018.9,13.240604000000001
ENSG00000008056.14,0.0
ENSG00000008083.14,14.175573
ENSG00000008086.13,12.797203
ENSG00000008118.10,0.0
ENSG00000008128.23,22.504853999999998
ENSG00000008130.15,68.129937
ENSG00000008196.13,0.0
ENSG00000008197.5,0.0
ENSG00000008226.20,0.953203
ENSG00000008256.17,2.010539
ENSG00000008277.15,0.530188
ENSG00000008282.10,16.206799
ENSG00000008283.16,1.697721
ENSG00000008294.22,65.176575
ENSG00000008300.17,0.093834
ENSG00000008311.16,1.3585250000000002
ENSG00000008323.16,0.14908
ENSG00000008324.12,2.369096
ENSG00000008382.16,2.842998
ENSG00000008394.13,4.947177
ENSG00000008405.12,1.590246
ENSG00000008438.5,5.32421
ENSG00000008441.19,17.978113
ENSG00000008513.17,35.000221
ENSG00000008516.19,56.994003000000006
ENSG00000008517.19,95.204141
ENSG00000008710.20,3.69158
ENSG00000008735.14,0.177616
ENSG00000008838.21,7.0557549999999996
ENSG00000008853.18,1.315489
ENSG00000008869.12,9.78087
ENSG00000008952.17,78.272161
ENSG00000008988.11,383.76752100000004
ENSG00000009307.17,68.775072
ENSG00000009335.19,15.078386
ENSG00000009413.17,18.246711
ENSG00000009694.14,0.382366
ENSG00000009709.13,0.0
ENSG00000009724.18,0.0
ENSG00000009765.15,0.209351
ENSG00000009780.16,6.276142
ENSG00000009790.15,85.751574
ENSG00000009830.13,7.17864
ENSG00000009844.16,6.1228240000000005
ENSG00000009950.16,3.067057
ENSG00000009954.11,7.9324010000000005
ENSG00000010017.13,19.981075
ENSG00000010030.14,0.268497
ENSG00000010072.16,2.216186
ENSG00000010165.20,3.624211
ENSG00000010219.14,2.940524
ENSG00000010244.19,125.15360600000001
ENSG00000010256.12,5.066664
ENSG00000010270.14,6.67673
ENSG00000010278.15,16.530375999999997
ENSG00000010282.15,0.0
ENSG00000010292.13,12.638891000000001
ENSG00000010295.20,8.777224
ENSG00000010310.9,1.677632
ENSG00000010318.22,16.681875
ENSG00000010319.7,0.0
ENSG00000010322.16,15.804637
ENSG00000010327.10,1.7034
ENSG00000010361.14,1.125124
ENSG00000010379.16,0.554383
ENSG00000010404.18,96.262914
ENSG00000010438.17,0.0
ENSG00000010539.12,8.964553
ENSG00000010610.10,25.711714
ENSG00000010626.15,2.372468
ENSG00000010671.18,56.519678
ENSG00000010704.20,2.550722
ENSG00000010803.18,7.14917
ENSG00000010810.18,86.351399
ENSG00000010818.11,19.593112
ENSG00000010932.17,0.0
ENSG00000011007.13,5.01379
ENSG00000011009.12,6.328801
ENSG00000011021.23,5.133045
ENSG00000011028.14,2.0106279999999996
ENSG00000011052.21,0.0
ENSG00000011083.9,0.0
ENSG00000011105.14,1.056051
ENSG00000011114.15,5.1766060000000005
ENSG00000011132.12,4.227084
ENSG00000011143.19,3.1849239999999996
ENSG00000011198.10,41.586899
ENSG00000011201.12,0.0
ENSG00000011243.19,11.280702999999999
ENSG00000011258.16,10.669775999999999
ENSG00000011260.14,7.606947
ENSG00000011275.19,14.814981
ENSG00000011295.16,9.146427
ENSG00000011304.22,20.150179
ENSG00000011332.22,0.248197
ENSG00000011347.10,0.046862
ENSG00000011376.12,2.823951
ENSG00000011405.14,8.689546
ENSG00000011422.12,31.438109
ENSG00000011426.11,10.723113999999999
ENSG00000011451.21,1.555402
ENSG00000011454.18,18.2773
ENSG00000011465.18,2.737276
ENSG00000011478.13,1.565852
ENSG00000011485.15,14.67091
ENSG00000011523.15,6.6585399999999995
ENSG00000011566.15,5.991669
ENSG00000011590.14,0.529568
ENSG00000011600.12,541.537658
ENSG00000011638.11,2.030808
ENSG00000011677.13,0.0
ENSG00000012048.26,14.607674000000001
ENSG00000012061.17,6.62273
ENSG00000012124.17,37.756571
ENSG00000012171.20,0.72599
ENSG00000012174.12,1.8704260000000001
ENSG00000012211.13,1.068028
ENSG00000012223.13,8.650952
ENSG00000012232.10,25.26584
ENSG00000012504.15,0.323654
ENSG00000012660.14,90.747391
ENSG00000012779.12,38.467763
ENSG00000012817.16,0.0
ENSG00000012822.16,40.251661
ENSG00000012963.15,3.420631
ENSG00000012983.12,25.718012
ENSG00000013016.16,3.207368
ENSG00000013275.8,5.199363
ENSG00000013288.9,6.804747
ENSG00000013293.6,3.085814
ENSG00000013297.12,0.129478
ENSG00000013306.16,194.02695
ENSG00000013364.19,58.060188
ENSG00000013374.17,33.120204
ENSG00000013375.17,5.267325
ENSG00000013392.8,1.23569
ENSG00000013441.17,84.050877
ENSG00000013503.10,3.1781800000000002
ENSG00000013523.12,3.2472790000000002
ENSG00000013561.18,38.828423
ENSG00000013563.14,3.557618
ENSG00000013573.17,1.3744800000000001
ENSG00000013583.10,3.858956
ENSG00000013588.10,0.429589
ENSG00000013619.15,0.159281
ENSG00000013725.14,31.382005
ENSG00000013810.21,21.932423
ENSG00000014123.10,4.98904
ENSG00000014138.10,2.90013
ENSG00000014164.7,1.761679
ENSG00000014216.16,19.033013
ENSG00000014257.17,10.648127
ENSG00000014641.21,10.707927
ENSG00000014824.14,6.033074
ENSG00000014914.21,3.7301420000000003
ENSG00000014919.13,4.035122
ENSG00000015133.20,36.514722
ENSG00000015153.15,14.468898
ENSG00000015171.21,26.28953
ENSG00000015285.12,63.285802
ENSG00000015413.10,0.0
ENSG00000015475.19,17.192838
ENSG00000015479.20,61.301639
ENSG00000015520.15,0.0
ENSG00000015532.10,2.434797
ENSG00000015568.13,5.182605
ENSG00000015592.17,0.0
