gene,TPM
ENSG00000000003.16,0.136065
ENSG00000000005.6,0.026765
ENSG00000000419.14,12.424673
ENSG00000000457.14,3.702628
ENSG00000000460.17,4.377311000000001
ENSG00000000938.13,51.913925000000006
ENSG00000000971.17,2.107391
ENSG00000001036.14,2.1381300000000003
ENSG00000001084.13,44.014193
ENSG00000001167.15,8.539114
ENSG00000001460.18,1.937058
ENSG00000001461.19,7.165929
ENSG00000001497.18,3.9165020000000004
ENSG00000001561.7,2.36177
ENSG00000001617.12,0.116315
ENSG00000001626.18,6.322965
ENSG00000001629.10,21.035574
ENSG00000001630.18,0.529879
ENSG00000001631.17,16.097685
ENSG00000002016.18,1.932261
ENSG00000002330.14,1.714994
ENSG00000002549.13,22.957499
ENSG00000002586.20,42.678486
ENSG00000002587.10,0.097387
ENSG00000002726.21,0.541167
ENSG00000002745.13,0.167466
ENSG00000002746.15,0.168599
ENSG00000002822.16,10.196678
ENSG00000002834.19,34.049321
ENSG00000002919.15,18.965108
ENSG00000002933.9,3.510144
ENSG00000003056.8,54.477703000000005
ENSG00000003096.15,0.203028
ENSG00000003137.9,0.025053
ENSG00000003147.19,1.2510620000000001
ENSG00000003249.15,0.167705
ENSG00000003393.16,7.554535
ENSG00000003400.16,16.962373
ENSG00000003402.21,210.727822
ENSG00000003436.16,4.123518000000001
ENSG00000003509.16,5.506466
ENSG00000003756.17,107.991662
ENSG00000003987.14,0.015778
ENSG00000003989.18,0.003499
ENSG00000004059.11,15.944851
ENSG00000004139.14,1.706729
ENSG00000004142.12,2.35538
ENSG00000004399.13,13.665412
ENSG00000004455.18,14.836885
ENSG00000004468.13,4.9065010000000004
ENSG00000004478.8,4.650256
ENSG00000004487.18,7.020543
ENSG00000004534.15,31.125438
ENSG00000004660.15,1.450501
ENSG00000004700.16,9.23697
ENSG00000004766.17,11.983222999999999
ENSG00000004776.13,0.0
ENSG00000004777.19,0.833642
ENSG00000004779.10,6.385821
ENSG00000004799.8,10.051162999999999
ENSG00000004809.14,0.982057
ENSG00000004838.14,0.896117
ENSG00000004846.17,0.375021
ENSG00000004848.8,0.009671
ENSG00000004864.14,8.73361
ENSG00000004866.22,2.5694980000000003
ENSG00000004897.12,37.643798000000004
ENSG00000004939.16,95.519001
ENSG00000004948.16,0.0
ENSG00000004961.15,2.616011
ENSG00000004975.12,5.302417
ENSG00000005001.10,0.337434
ENSG00000005007.14,18.658323
ENSG00000005020.13,42.045638
ENSG00000005022.6,19.339416999999997
ENSG00000005059.16,15.585141
ENSG00000005073.6,0.0
ENSG00000005075.16,4.586767
ENSG00000005100.13,1.452899
ENSG00000005102.14,0.231986
ENSG00000005108.17,0.046675
ENSG00000005156.12,8.79607
ENSG00000005175.10,40.793071999999995
ENSG00000005187.12,9.631501
ENSG00000005189.20,0.983698
ENSG00000005194.15,5.035691
ENSG00000005206.17,3.291949
ENSG00000005238.20,16.948077
ENSG00000005243.10,0.051534
ENSG00000005249.14,12.177978
ENSG00000005302.19,28.71017
ENSG00000005339.15,97.259962
ENSG00000005379.17,4.9121999999999995
ENSG00000005381.9,3.022039
ENSG00000005421.9,0.04771
ENSG00000005436.14,4.083626000000001
ENSG00000005448.17,1.3608
ENSG00000005469.12,6.533093
ENSG00000005471.19,0.84656
ENSG00000005483.23,88.72453
ENSG00000005486.17,2.998821
ENSG00000005513.11,0.165685
ENSG00000005700.15,5.159532
ENSG00000005801.18,6.376046
ENSG00000005810.20,66.406788
ENSG00000005812.11,18.323247
ENSG00000005844.19,98.392292
ENSG00000005882.12,10.309813
ENSG00000005884.18,1.768135
ENSG00000005889.16,18.192871
ENSG00000005893.17,36.15822
ENSG00000005961.19,6.176339
ENSG00000005981.13,0.510248
ENSG00000006007.12,17.697834
ENSG00000006015.18,7.317827
ENSG00000006016.12,0.0
ENSG00000006025.13,5.480069
ENSG00000006042.12,3.354282
ENSG00000006047.13,0.107636
ENSG00000006059.4,0.0
ENSG00000006062.18,3.431308
ENSG00000006071.16,0.46946299999999996
ENSG00000006116.4,0.015333
ENSG00000006118.15,0.33758900000000003
ENSG00000006125.18,53.193709
ENSG00000006128.12,0.0
ENSG00000006194.12,3.0941359999999998
ENSG00000006210.7,0.111149
ENSG00000006282.22,0.396217
ENSG00000006283.18,0.027869
ENSG00000006327.14,0.536988
ENSG00000006377.11,0.031236
ENSG00000006432.16,0.631641
ENSG00000006451.8,4.251422
ENSG00000006453.14,0.16227599999999998
ENSG00000006459.11,41.367554999999996
ENSG00000006468.15,0.026009
ENSG00000006530.18,7.45641
ENSG00000006534.17,5.219303
ENSG00000006555.11,1.926155
ENSG00000006576.17,8.262126
ENSG00000006606.9,0.0
ENSG00000006607.14,6.004793
ENSG00000006611.17,0.017092
ENSG00000006625.18,2.122986
ENSG00000006634.8,3.922876
ENSG00000006638.13,3.614692
ENSG00000006652.15,44.518466000000004
ENSG00000006659.13,0.0
ENSG00000006695.12,5.116763000000001
ENSG00000006704.11,0.307468
ENSG00000006712.15,35.707587000000004
ENSG00000006715.16,33.670977
ENSG00000006740.18,0.032583
ENSG00000006744.19,9.601663
ENSG00000006747.15,0.099048
ENSG00000006756.16,1.5430329999999999
ENSG00000006757.12,0.896336
ENSG00000006788.14,0.0
ENSG00000006831.10,13.775985
ENSG00000006837.12,0.680832
ENSG00000007001.14,0.0
ENSG00000007038.11,1.307214
ENSG00000007047.16,3.102604
ENSG00000007062.12,0.04866
ENSG00000007080.11,7.079734
ENSG00000007129.18,3.742336
ENSG00000007168.15,33.752570999999996
ENSG00000007171.19,0.06672600000000001
ENSG00000007174.18,0.100784
ENSG00000007202.16,21.465072
ENSG00000007216.16,0.0
ENSG00000007237.19,12.559865
ENSG00000007255.10,2.070233
ENSG00000007264.15,4.468678
ENSG00000007306.15,0.0
ENSG00000007312.14,4.452114
ENSG00000007314.12,0.0
ENSG00000007341.19,12.389627
ENSG00000007350.18,1.3768479999999998
ENSG00000007372.25,0.012946
ENSG00000007376.8,1.071602
ENSG00000007384.15,0.268125
ENSG00000007392.17,24.532610000000002
ENSG00000007402.12,0.697244
ENSG00000007516.15,1.5358349999999998
ENSG00000007520.4,2.507675
ENSG00000007541.17,11.155479
ENSG00000007545.16,1.9081679999999999
ENSG00000007866.22,0.017925
ENSG00000007908.16,0.0
ENSG00000007923.17,8.532542
ENSG00000007933.13,0.979375
ENSG00000007944.16,10.794075
ENSG00000007952.18,0.0
ENSG00000007968.7,12.838275
ENSG00000008018.9,23.567237
ENSG00000008056.14,0.061234
ENSG00000008083.14,14.039056
ENSG00000008086.13,6.072554
ENSG00000008118.10,0.018007
ENSG00000008128.23,22.120141
ENSG00000008130.15,55.490462
ENSG00000008196.13,0.00475
ENSG00000008197.5,0.0
ENSG00000008226.20,1.263591
ENSG00000008256.17,1.6791260000000001
ENSG00000008277.15,0.7487240000000001
ENSG00000008282.10,12.398465999999999
ENSG00000008283.16,3.0468900000000003
ENSG00000008294.22,46.514446
ENSG00000008300.17,0.663021
ENSG00000008311.16,2.945366
ENSG00000008323.16,0.021772
ENSG00000008324.12,3.301163
ENSG00000008382.16,1.1263130000000001
ENSG00000008394.13,6.306248
ENSG00000008405.12,6.163805
ENSG00000008438.5,5.190259
ENSG00000008441.19,26.344132
ENSG00000008513.17,55.615215
ENSG00000008516.19,30.857215999999998
ENSG00000008517.19,66.99151900000001
ENSG00000008710.20,6.6583559999999995
ENSG00000008735.14,0.16466
ENSG00000008838.21,5.992982
ENSG00000008853.18,1.3795250000000001
ENSG00000008869.12,15.56705
ENSG00000008952.17,58.509322
ENSG00000008988.11,752.38834
ENSG00000009307.17,104.90776600000001
ENSG00000009335.19,13.252466
ENSG00000009413.17,28.325426999999998
ENSG00000009694.14,0.596133
ENSG00000009709.13,0.0
ENSG00000009724.18,0.024768
ENSG00000009765.15,0.14884
ENSG00000009780.16,2.542178
ENSG00000009790.15,100.479446
ENSG00000009830.13,8.976465000000001
ENSG00000009844.16,8.494902
ENSG00000009950.16,1.854123
ENSG00000009954.11,9.652418
ENSG00000010017.13,15.517646
ENSG00000010030.14,1.071577
ENSG00000010072.16,2.856804
ENSG00000010165.20,8.85697
ENSG00000010219.14,4.895543
ENSG00000010244.19,131.196429
