gene,TPM
ENSG00000000003.16,0.076139
ENSG00000000005.6,0.0
ENSG00000000419.14,6.322716
ENSG00000000457.14,3.707583
ENSG00000000460.17,2.270184
ENSG00000000938.13,58.484983
ENSG00000000971.17,0.49222
ENSG00000001036.14,1.4551180000000001
ENSG00000001084.13,4.736815
ENSG00000001167.15,3.363999
ENSG00000001460.18,0.434427
ENSG00000001461.19,6.714963
ENSG00000001497.18,1.858646
ENSG00000001561.7,1.796741
ENSG00000001617.12,0.0
ENSG00000001626.18,0.0
ENSG00000001629.10,7.219466
ENSG00000001630.18,0.974438
ENSG00000001631.17,8.251028
ENSG00000002016.18,2.281666
ENSG00000002330.14,2.827644
ENSG00000002549.13,7.10503
ENSG00000002586.20,15.288266
ENSG00000002587.10,0.078043
ENSG00000002726.21,0.0
ENSG00000002745.13,0.127423
ENSG00000002746.15,0.0
ENSG00000002822.16,4.583861000000001
ENSG00000002834.19,32.630137
ENSG00000002919.15,11.619372
ENSG00000002933.9,0.276441
ENSG00000003056.8,20.267229
ENSG00000003096.15,0.062236
ENSG00000003137.9,0.0
ENSG00000003147.19,0.310224
ENSG00000003249.15,0.323591
ENSG00000003393.16,2.622504
ENSG00000003400.16,8.065427
ENSG00000003402.21,143.932079
ENSG00000003436.16,2.913152
ENSG00000003509.16,3.243907
ENSG00000003756.17,61.93231
ENSG00000003987.14,0.0
ENSG00000003989.18,0.0
ENSG00000004059.11,17.099269999999997
ENSG00000004139.14,1.407545
ENSG00000004142.12,3.795163
ENSG00000004399.13,4.76301
ENSG00000004455.18,10.837563
ENSG00000004468.13,3.718861
ENSG00000004478.8,3.3483940000000003
ENSG00000004487.18,4.562283
ENSG00000004534.15,11.61741
ENSG00000004660.15,1.372393
ENSG00000004700.16,4.395704
ENSG00000004766.17,7.347929
ENSG00000004776.13,0.0
ENSG00000004777.19,0.134561
ENSG00000004779.10,3.008448
ENSG00000004799.8,2.360974
ENSG00000004809.14,0.22755
ENSG00000004838.14,1.177178
ENSG00000004846.17,0.38342499999999996
ENSG00000004848.8,0.0
ENSG00000004864.14,3.246915
ENSG00000004866.22,1.999342
ENSG00000004897.12,13.667018
ENSG00000004939.16,62.636207999999996
ENSG00000004948.16,0.0
ENSG00000004961.15,1.614577
ENSG00000004975.12,1.849161
ENSG00000005001.10,0.0
ENSG00000005007.14,8.585418
ENSG00000005020.13,16.180048
ENSG00000005022.6,8.678598
ENSG00000005059.16,6.526612999999999
ENSG00000005073.6,0.0
ENSG00000005075.16,3.744711
ENSG00000005100.13,0.533549
ENSG00000005102.14,0.162889
ENSG00000005108.17,0.0
ENSG00000005156.12,3.870882
ENSG00000005175.10,3.22997
ENSG00000005187.12,2.315509
ENSG00000005189.20,0.179041
ENSG00000005194.15,2.458686
ENSG00000005206.17,2.586711
ENSG00000005238.20,13.317444
ENSG00000005243.10,0.0
ENSG00000005249.14,4.840466
ENSG00000005302.19,11.265947
ENSG00000005339.15,19.6055
ENSG00000005379.17,2.393582
ENSG00000005381.9,0.376857
ENSG00000005421.9,0.0
ENSG00000005436.14,1.5008750000000002
ENSG00000005448.17,1.393633
ENSG00000005469.12,3.493864
ENSG00000005471.19,1.070477
ENSG00000005483.23,32.586253
ENSG00000005486.17,3.5903329999999998
ENSG00000005513.11,0.0
ENSG00000005700.15,4.066295
ENSG00000005801.18,3.782514
ENSG00000005810.20,33.614348
ENSG00000005812.11,10.965612
ENSG00000005844.19,26.50904
ENSG00000005882.12,4.67589
ENSG00000005884.18,0.8167300000000001
ENSG00000005889.16,8.000229000000001
ENSG00000005893.17,31.958882000000003
ENSG00000005961.19,3.167444
ENSG00000005981.13,0.075351
ENSG00000006007.12,8.907286000000001
ENSG00000006015.18,2.220669
ENSG00000006016.12,0.0
ENSG00000006025.13,2.09918
ENSG00000006042.12,1.938409
ENSG00000006047.13,0.0
ENSG00000006059.4,0.0
ENSG00000006062.18,2.59287
ENSG00000006071.16,0.24564200000000003
ENSG00000006116.4,0.0
ENSG00000006118.15,0.0
ENSG00000006125.18,13.905173
ENSG00000006128.12,0.0
ENSG00000006194.12,2.98944
ENSG00000006210.7,0.024231
ENSG00000006282.22,0.772427
ENSG00000006283.18,0.0
ENSG00000006327.14,0.539224
ENSG00000006377.11,0.0
ENSG00000006432.16,0.249303
ENSG00000006451.8,1.141153
ENSG00000006453.14,0.039177
ENSG00000006459.11,9.974915
ENSG00000006468.15,0.0
ENSG00000006530.18,4.921943
ENSG00000006534.17,3.535197
ENSG00000006555.11,1.216893
ENSG00000006576.17,4.43461
ENSG00000006606.9,0.0
ENSG00000006607.14,3.02252
ENSG00000006611.17,0.0
ENSG00000006625.18,1.260909
ENSG00000006634.8,1.808099
ENSG00000006638.13,1.386262
ENSG00000006652.15,26.892413
ENSG00000006659.13,0.0
ENSG00000006695.12,3.1822749999999997
ENSG00000006704.11,0.169271
ENSG00000006712.15,4.378571
ENSG00000006715.16,16.006759
ENSG00000006740.18,0.0
ENSG00000006744.19,6.338815
ENSG00000006747.15,0.028702
ENSG00000006756.16,1.041367
ENSG00000006757.12,0.18394
ENSG00000006788.14,0.0
ENSG00000006831.10,4.985882
ENSG00000006837.12,0.913365
ENSG00000007001.14,0.0
ENSG00000007038.11,0.416404
ENSG00000007047.16,1.7971
ENSG00000007062.12,0.391098
ENSG00000007080.11,1.814002
ENSG00000007129.18,5.282876
ENSG00000007168.15,20.355723
ENSG00000007171.19,0.027807
ENSG00000007174.18,0.0
ENSG00000007202.16,14.633082
ENSG00000007216.16,0.0
ENSG00000007237.19,10.821551
ENSG00000007255.10,2.6611849999999997
ENSG00000007264.15,4.444336
ENSG00000007306.15,0.0
ENSG00000007312.14,10.127537
ENSG00000007314.12,0.017865
ENSG00000007341.19,3.091507
ENSG00000007350.18,0.340388
ENSG00000007372.25,0.0
ENSG00000007376.8,1.987502
ENSG00000007384.15,0.0
ENSG00000007392.17,8.287627
ENSG00000007402.12,0.255455
ENSG00000007516.15,0.7545010000000001
ENSG00000007520.4,2.596901
ENSG00000007541.17,2.073787
ENSG00000007545.16,3.228346
ENSG00000007866.22,0.053135
ENSG00000007908.16,0.0
ENSG00000007923.17,1.73205
ENSG00000007933.13,0.611722
ENSG00000007944.16,5.542738
ENSG00000007952.18,0.0
ENSG00000007968.7,3.258831
ENSG00000008018.9,11.093442
ENSG00000008056.14,0.0
ENSG00000008083.14,5.155329
ENSG00000008086.13,4.425517
ENSG00000008118.10,0.0
ENSG00000008128.23,7.174177
ENSG00000008130.15,47.666541
ENSG00000008196.13,0.0
ENSG00000008197.5,0.0
ENSG00000008226.20,0.634939
ENSG00000008256.17,0.443224
ENSG00000008277.15,0.346784
ENSG00000008282.10,4.048191
ENSG00000008283.16,1.685878
ENSG00000008294.22,22.682129
ENSG00000008300.17,0.184516
ENSG00000008311.16,1.2427190000000001
ENSG00000008323.16,0.0
ENSG00000008324.12,1.195808
ENSG00000008382.16,1.111972
ENSG00000008394.13,2.532065
ENSG00000008405.12,1.7184439999999999
ENSG00000008438.5,5.711149
ENSG00000008441.19,4.606822
ENSG00000008513.17,28.919654
ENSG00000008516.19,32.282717
ENSG00000008517.19,24.904117
ENSG00000008710.20,2.554961
ENSG00000008735.14,0.099525
ENSG00000008838.21,3.0148099999999998
ENSG00000008853.18,1.845414
ENSG00000008869.12,7.151669
ENSG00000008952.17,12.205629
ENSG00000008988.11,118.974383
ENSG00000009307.17,52.095963
ENSG00000009335.19,9.809325
ENSG00000009413.17,15.428023
ENSG00000009694.14,0.386741
ENSG00000009709.13,0.0
ENSG00000009724.18,0.0
ENSG00000009765.15,0.16611
ENSG00000009780.16,2.8741640000000004
ENSG00000009790.15,36.375335
ENSG00000009830.13,0.782113
ENSG00000009844.16,3.182252
ENSG00000009950.16,1.10188
ENSG00000009954.11,4.903799
ENSG00000010017.13,3.917449
ENSG00000010030.14,0.410831
ENSG00000010072.16,1.647448
ENSG00000010165.20,1.532088
ENSG00000010219.14,3.08229
ENSG00000010244.19,45.764546
ENSG00000010256.12,6.756057
ENSG00000010270.14,3.114419
ENSG00000010278.15,5.045428
ENSG00000010282.15,0.0
ENSG00000010292.13,6.287917
ENSG00000010295.20,2.332814
ENSG00000010310.9,0.553464
ENSG00000010318.22,1.061455
ENSG00000010319.7,0.028255
ENSG00000010322.16,6.904363
ENSG00000010327.10,3.087475
ENSG00000010361.14,1.155399
ENSG00000010379.16,0.0
ENSG00000010404.18,31.423545999999998
ENSG00000010438.17,0.303448
ENSG00000010539.12,6.565632
ENSG00000010610.10,9.356789
ENSG00000010626.15,0.323006
ENSG00000010671.18,7.884552
ENSG00000010704.20,0.967725
ENSG00000010803.18,2.896917
ENSG00000010810.18,52.158286
ENSG00000010818.11,7.474265
ENSG00000010932.17,0.0
ENSG00000011007.13,1.945113
ENSG00000011009.12,6.978044
ENSG00000011021.23,3.295811
ENSG00000011028.14,1.598148
ENSG00000011052.21,0.253114
ENSG00000011083.9,0.0
ENSG00000011105.14,0.196848
ENSG00000011114.15,1.823869
ENSG00000011132.12,3.126715
ENSG00000011143.19,1.6433689999999999
ENSG00000011198.10,21.05587
ENSG00000011201.12,0.213739
ENSG00000011243.19,9.725263
ENSG00000011258.16,4.912153
ENSG00000011260.14,3.622212
ENSG00000011275.19,9.133594
ENSG00000011295.16,4.473866
ENSG00000011304.22,7.705287
ENSG00000011332.22,0.063806
ENSG00000011347.10,0.0
ENSG00000011376.12,3.208501
ENSG00000011405.14,2.683725
ENSG00000011422.12,18.174961
ENSG00000011426.11,0.091015
ENSG00000011451.21,0.924586
ENSG00000011454.18,4.396283
ENSG00000011465.18,0.788827
ENSG00000011478.13,0.890939
ENSG00000011485.15,5.712097
ENSG00000011523.15,3.465356
ENSG00000011566.15,1.532508
ENSG00000011590.14,0.260198
ENSG00000011600.12,131.332528
ENSG00000011638.11,1.833726
ENSG00000011677.13,0.0
ENSG00000012048.26,2.052773
ENSG00000012061.17,8.196908
ENSG00000012124.17,12.391109
ENSG00000012171.20,0.135437
ENSG00000012174.12,1.082482
ENSG00000012211.13,0.411005
ENSG00000012223.13,3.198037
ENSG00000012232.10,15.40844
ENSG00000012504.15,0.0
ENSG00000012660.14,33.811418
ENSG00000012779.12,18.819975
ENSG00000012817.16,0.0
ENSG00000012822.16,18.796167
ENSG00000012963.15,2.129436
ENSG00000012983.12,4.473587
ENSG00000013016.16,1.317249
ENSG00000013275.8,5.980938
ENSG00000013288.9,2.790211
ENSG00000013293.6,0.544734
ENSG00000013297.12,0.0
ENSG00000013306.16,325.801621
ENSG00000013364.19,32.872188
ENSG00000013374.17,14.559914
ENSG00000013375.17,3.865498
ENSG00000013392.8,0.378322
ENSG00000013441.17,32.905943
ENSG00000013503.10,1.018231
ENSG00000013523.12,1.9116369999999998
ENSG00000013561.18,11.312976
ENSG00000013563.14,2.966049
ENSG00000013573.17,0.817914
ENSG00000013583.10,0.533778
ENSG00000013588.10,0.021266
ENSG00000013619.15,0.155928
ENSG00000013725.14,12.518413
ENSG00000013810.21,11.602323
ENSG00000014123.10,2.485088
ENSG00000014138.10,1.988429
ENSG00000014164.7,1.753122
ENSG00000014216.16,10.673788
ENSG00000014257.17,9.010765
ENSG00000014641.21,8.785453
ENSG00000014824.14,2.7063040000000003
ENSG00000014914.21,3.018395
ENSG00000014919.13,3.437707
ENSG00000015133.20,18.109546
ENSG00000015153.15,8.358212
ENSG00000015171.21,8.909462
ENSG00000015285.12,21.256506
ENSG00000015413.10,0.0
ENSG00000015475.19,15.155815
ENSG00000015479.20,20.813749
ENSG00000015520.15,0.0
ENSG00000015532.10,2.7372360000000002
ENSG00000015568.13,9.350315
ENSG00000015592.17,0.0
ENSG00000015676.18,12.120517
ENSG00000016082.15,0.0
ENSG00000016391.11,0.205093
ENSG00000016402.14,0.0
ENSG00000016490.16,0.0
ENSG00000016602.9,0.0
ENSG00000016864.19,4.294916
ENSG00000017260.20,8.20187
ENSG00000017427.17,0.076145
ENSG00000017483.16,5.167839
ENSG00000017797.13,11.706859000000001
ENSG00000018189.13,6.441106
ENSG00000018236.15,0.343908
ENSG00000018280.18,64.86692
ENSG00000018408.15,0.056081
ENSG00000018510.18,3.453373
ENSG00000018607.9,0.0
ENSG00000018610.15,4.111562
ENSG00000018625.15,0.032409
ENSG00000018699.13,3.6928069999999997
ENSG00000018869.18,0.329409
ENSG00000019102.12,0.0
ENSG00000019144.20,0.539991
ENSG00000019169.11,0.744214
ENSG00000019186.10,0.0
ENSG00000019485.14,0.5755520000000001
ENSG00000019505.8,0.028662
ENSG00000019549.13,0.0
ENSG00000019582.17,207.815897
ENSG00000019991.18,1.7602280000000001
ENSG00000019995.6,4.6349599999999995
ENSG00000020129.16,1.4550750000000001
ENSG00000020181.18,0.089407
ENSG00000020219.9,0.0
ENSG00000020256.20,1.498186
ENSG00000020426.11,1.616655
ENSG00000020577.14,0.377551
ENSG00000020633.19,6.63182
ENSG00000020922.13,5.482244
ENSG00000021300.14,2.829509
ENSG00000021355.13,31.767028
ENSG00000021461.18,0.0
ENSG00000021488.13,0.0
ENSG00000021574.15,5.89742
ENSG00000021645.20,0.26441000000000003
ENSG00000021762.20,5.760453
ENSG00000021776.11,7.188921
ENSG00000021826.18,0.207345
ENSG00000021852.14,0.050354
ENSG00000022267.19,1.7793619999999999
ENSG00000022277.13,26.875999
ENSG00000022355.18,0.0
ENSG00000022556.16,1.208738
ENSG00000022567.10,4.915505
ENSG00000022840.17,59.703287
ENSG00000022976.16,2.5742130000000003
ENSG00000023041.12,5.697405
ENSG00000023171.20,1.110477
ENSG00000023191.17,7.1146
ENSG00000023228.15,6.841281
ENSG00000023287.13,8.441991
ENSG00000023318.9,7.858579
ENSG00000023330.15,6.426923
ENSG00000023445.17,10.052088
ENSG00000023516.9,3.761144
ENSG00000023572.10,0.960923
ENSG00000023608.5,0.448818
ENSG00000023697.13,2.148755
ENSG00000023734.11,4.560319
ENSG00000023839.12,0.12094
ENSG00000023892.12,18.744715
ENSG00000023902.14,18.147948
ENSG00000023909.10,1.4527480000000002
ENSG00000024048.11,20.506714000000002
ENSG00000024422.12,0.151128
ENSG00000024526.17,0.092556
ENSG00000024862.18,5.017645
ENSG00000025039.15,1.949574
ENSG00000025156.13,0.892288
ENSG00000025293.17,8.899619000000001
ENSG00000025423.11,0.0
ENSG00000025434.19,0.921101
ENSG00000025708.14,36.751782
ENSG00000025770.19,3.231264
ENSG00000025772.8,0.827914
ENSG00000025796.14,4.224035
ENSG00000025800.14,4.688659
ENSG00000026025.16,115.344304
ENSG00000026036.23,0.180648
ENSG00000026103.25,11.871369
ENSG00000026297.17,90.17143800000001
ENSG00000026508.21,72.5972
ENSG00000026559.14,0.646829
ENSG00000026652.15,4.076297
ENSG00000026751.17,8.879218
ENSG00000026950.18,39.588989
ENSG00000027001.10,0.675974
ENSG00000027075.18,30.468514
ENSG00000027644.5,0.0
ENSG00000027697.16,25.444951
ENSG00000027847.14,4.003583
ENSG00000027869.13,2.6339110000000003
ENSG00000028116.18,2.400996
ENSG00000028137.19,36.619812
ENSG00000028203.19,7.172752
ENSG00000028277.22,4.395389
ENSG00000028310.18,5.124152
ENSG00000028528.15,5.432735
ENSG00000028839.10,8.374705
ENSG00000029153.15,0.164833
ENSG00000029363.17,36.314609000000004
ENSG00000029364.12,4.675049
ENSG00000029534.22,15.044961
ENSG00000029559.7,0.0
ENSG00000029639.11,9.947470000000001
ENSG00000029725.17,5.1920980000000005
ENSG00000029993.15,0.163167
ENSG00000030066.14,5.710086
ENSG00000030110.14,1.894883
ENSG00000030304.15,0.016791
ENSG00000030419.17,8.14356
ENSG00000030582.19,34.523495
ENSG00000031003.11,8.501679
ENSG00000031081.11,0.895939
ENSG00000031691.7,0.345178
ENSG00000031698.13,10.728276
ENSG00000031823.14,8.085395
ENSG00000032219.19,9.457326
ENSG00000032389.13,3.578708
ENSG00000032444.17,9.55366
ENSG00000032742.18,1.302435
ENSG00000033011.14,2.141178
ENSG00000033030.16,4.665659
ENSG00000033050.9,2.735253
ENSG00000033100.17,6.255547
ENSG00000033122.21,0.113605
ENSG00000033170.17,2.319904
ENSG00000033178.13,4.691769
ENSG00000033327.13,16.138958
ENSG00000033627.18,8.108210999999999
ENSG00000033800.14,36.658899
ENSG00000033867.18,6.002683
ENSG00000034053.15,2.906059
ENSG00000034152.20,24.848567
ENSG00000034239.11,0.0
ENSG00000034510.6,215.606188
ENSG00000034533.12,3.57293
ENSG00000034677.13,22.436655000000002
ENSG00000034693.15,0.685156
ENSG00000034713.8,31.77859
ENSG00000034971.17,0.0
ENSG00000035115.22,7.390099
ENSG00000035141.10,1.592376
ENSG00000035403.18,14.901015999999998
ENSG00000035499.13,0.290437
ENSG00000035664.11,9.714608
ENSG00000035681.10,17.045463
ENSG00000035687.10,9.366849
ENSG00000035720.8,0.80923
ENSG00000035862.13,9.071957000000001
ENSG00000035928.17,5.280281
ENSG00000036054.13,5.957809
ENSG00000036257.14,16.564676000000002
ENSG00000036448.10,0.473793
ENSG00000036473.9,0.0
ENSG00000036530.9,0.110282
ENSG00000036549.13,5.516283
ENSG00000036565.15,0.0
