gene,TPM
ENSG00000000003.16,0.360305
ENSG00000000005.6,0.0
ENSG00000000419.14,20.310691
ENSG00000000457.14,4.9912209999999995
ENSG00000000460.17,1.557359
ENSG00000000938.13,329.012985
ENSG00000000971.17,1.039782
ENSG00000001036.14,6.800927
ENSG00000001084.13,6.396996
ENSG00000001167.15,10.522217000000001
ENSG00000001460.18,0.867576
ENSG00000001461.19,8.643928
ENSG00000001497.18,8.260366
ENSG00000001561.7,1.985098
ENSG00000001617.12,0.039825
ENSG00000001626.18,0.019745000000000002
ENSG00000001629.10,6.343839
ENSG00000001630.18,2.986574
ENSG00000001631.17,10.862446
ENSG00000002016.18,14.01608
ENSG00000002330.14,12.776714
ENSG00000002549.13,16.461634
ENSG00000002586.20,86.206529
ENSG00000002587.10,0.0648
ENSG00000002726.21,1.611405
ENSG00000002745.13,0.118361
ENSG00000002746.15,0.19390500000000002
ENSG00000002822.16,39.941051
ENSG00000002834.19,95.19722000000002
ENSG00000002919.15,25.970213
ENSG00000002933.9,21.195822
ENSG00000003056.8,111.28501299999999
ENSG00000003096.15,0.140871
ENSG00000003137.9,1.369524
ENSG00000003147.19,1.653847
ENSG00000003249.15,1.150377
ENSG00000003393.16,4.871713
ENSG00000003400.16,13.039665
ENSG00000003402.21,262.239672
ENSG00000003436.16,0.5246839999999999
ENSG00000003509.16,9.569768
ENSG00000003756.17,230.879376
ENSG00000003987.14,0.010582
ENSG00000003989.18,0.00406
ENSG00000004059.11,88.51378700000001
ENSG00000004139.14,3.795721
ENSG00000004142.12,13.297042999999999
ENSG00000004399.13,38.085412
ENSG00000004455.18,28.968754999999998
ENSG00000004468.13,5.001651
ENSG00000004478.8,9.947849
ENSG00000004487.18,15.096399
ENSG00000004534.15,60.383082
ENSG00000004660.15,6.551614000000001
ENSG00000004700.16,12.692395
ENSG00000004766.17,7.711791999999999
ENSG00000004776.13,0.033374
ENSG00000004777.19,14.55679
ENSG00000004779.10,26.59767
ENSG00000004799.8,4.137751000000001
ENSG00000004809.14,1.717127
ENSG00000004838.14,1.6598060000000001
ENSG00000004846.17,0.088499
ENSG00000004848.8,0.007639
ENSG00000004864.14,4.828936
ENSG00000004866.22,1.711787
ENSG00000004897.12,17.37469
ENSG00000004939.16,18.552115
ENSG00000004948.16,0.0
ENSG00000004961.15,5.488715
ENSG00000004975.12,13.183153
ENSG00000005001.10,0.0
ENSG00000005007.14,40.339579
ENSG00000005020.13,24.796091
ENSG00000005022.6,78.200282
ENSG00000005059.16,32.437996999999996
ENSG00000005073.6,0.0
ENSG00000005075.16,18.879654
ENSG00000005100.13,3.331283
ENSG00000005102.14,1.041204
ENSG00000005108.17,0.027167
ENSG00000005156.12,5.871344000000001
ENSG00000005175.10,10.103316
ENSG00000005187.12,4.163501
ENSG00000005189.20,0.503783
ENSG00000005194.15,14.781059
ENSG00000005206.17,42.739322
ENSG00000005238.20,36.985903
ENSG00000005243.10,0.938556
ENSG00000005249.14,9.294118
ENSG00000005302.19,57.021191
ENSG00000005339.15,72.420817
ENSG00000005379.17,9.28558
ENSG00000005381.9,2.503097
ENSG00000005421.9,0.10131799999999999
ENSG00000005436.14,4.055216000000001
ENSG00000005448.17,8.050764000000001
ENSG00000005469.12,2.431775
ENSG00000005471.19,0.641345
ENSG00000005483.23,24.822716
ENSG00000005486.17,27.975997
ENSG00000005513.11,0.8066169999999999
ENSG00000005700.15,6.910967
ENSG00000005801.18,5.717267
ENSG00000005810.20,39.053767
ENSG00000005812.11,19.208376
ENSG00000005844.19,239.365363
ENSG00000005882.12,8.949331
ENSG00000005884.18,2.982044
ENSG00000005889.16,9.36112
ENSG00000005893.17,75.242307
ENSG00000005961.19,14.814535999999999
ENSG00000005981.13,0.068527
ENSG00000006007.12,16.708052
ENSG00000006015.18,38.513037999999995
ENSG00000006016.12,0.027566
ENSG00000006025.13,11.367259
ENSG00000006042.12,0.071066
ENSG00000006047.13,0.104209
ENSG00000006059.4,0.0
ENSG00000006062.18,11.964949
ENSG00000006071.16,0.39938799999999997
ENSG00000006116.4,0.0
ENSG00000006118.15,0.11164299999999999
ENSG00000006125.18,22.399526
ENSG00000006128.12,0.0
ENSG00000006194.12,9.748094
ENSG00000006210.7,0.090038
ENSG00000006282.22,6.468605
ENSG00000006283.18,0.017011
ENSG00000006327.14,7.759655
ENSG00000006377.11,0.0
ENSG00000006432.16,0.57945
ENSG00000006451.8,12.462932
ENSG00000006453.14,1.818378
ENSG00000006459.11,13.405443
ENSG00000006468.15,0.015409
ENSG00000006530.18,6.9671
ENSG00000006534.17,19.216799
ENSG00000006555.11,3.659786
ENSG00000006576.17,4.805864000000001
ENSG00000006606.9,0.0
ENSG00000006607.14,3.3902349999999997
ENSG00000006611.17,0.0
ENSG00000006625.18,5.945266
ENSG00000006634.8,2.58933
ENSG00000006638.13,3.503015
ENSG00000006652.15,54.46678
ENSG00000006659.13,0.168205
ENSG00000006695.12,2.916577
ENSG00000006704.11,0.251618
ENSG00000006712.15,24.017542
ENSG00000006715.16,25.189715
ENSG00000006740.18,0.040116
ENSG00000006744.19,16.098372
ENSG00000006747.15,0.16891499999999998
ENSG00000006756.16,7.755459999999999
ENSG00000006757.12,2.1785
ENSG00000006788.14,0.0
ENSG00000006831.10,10.801123
ENSG00000006837.12,0.827983
ENSG00000007001.14,0.0
ENSG00000007038.11,5.80699
ENSG00000007047.16,10.398226000000001
ENSG00000007062.12,0.92858
