gene,TPM
ENSG00000000003.16,0.046152
ENSG00000000005.6,0.0
ENSG00000000419.14,4.000932000000001
ENSG00000000457.14,1.234362
ENSG00000000460.17,0.420405
ENSG00000000938.13,179.022379
ENSG00000000971.17,0.09386800000000001
ENSG00000001036.14,2.582024
ENSG00000001084.13,1.140555
ENSG00000001167.15,4.649223
ENSG00000001460.18,0.115497
ENSG00000001461.19,1.245162
ENSG00000001497.18,1.215319
ENSG00000001561.7,0.072729
ENSG00000001617.12,0.0
ENSG00000001626.18,0.0
ENSG00000001629.10,1.143672
ENSG00000001630.18,0.652208
ENSG00000001631.17,1.456774
ENSG00000002016.18,0.751335
ENSG00000002330.14,13.419281999999999
ENSG00000002549.13,3.972316
ENSG00000002586.20,69.510735
ENSG00000002587.10,0.033561
ENSG00000002726.21,0.203204
ENSG00000002745.13,0.0
ENSG00000002746.15,0.0
ENSG00000002822.16,11.118089
ENSG00000002834.19,79.911044
ENSG00000002919.15,15.701606
ENSG00000002933.9,23.386994
ENSG00000003056.8,15.746845
ENSG00000003096.15,0.08205899999999999
ENSG00000003137.9,0.0
ENSG00000003147.19,0.7073940000000001
ENSG00000003249.15,0.049083
ENSG00000003393.16,1.417608
ENSG00000003400.16,5.759942
ENSG00000003402.21,283.565953
ENSG00000003436.16,0.195244
ENSG00000003509.16,1.325343
ENSG00000003756.17,62.072238
ENSG00000003987.14,0.020936
ENSG00000003989.18,0.0
ENSG00000004059.11,55.814562
ENSG00000004139.14,0.900239
ENSG00000004142.12,6.305858000000001
ENSG00000004399.13,12.273633
ENSG00000004455.18,8.932053000000002
ENSG00000004468.13,0.486635
ENSG00000004478.8,2.512966
ENSG00000004487.18,1.803218
ENSG00000004534.15,10.435452
ENSG00000004660.15,6.549848
ENSG00000004700.16,0.971518
ENSG00000004766.17,1.118665
ENSG00000004776.13,0.0
ENSG00000004777.19,8.552521
ENSG00000004779.10,4.042782
ENSG00000004799.8,5.266475
ENSG00000004809.14,0.34882
ENSG00000004838.14,0.36036700000000005
ENSG00000004846.17,0.213668
ENSG00000004848.8,0.0
ENSG00000004864.14,1.0711469999999998
ENSG00000004866.22,0.759723
ENSG00000004897.12,3.009057
ENSG00000004939.16,30.805814
ENSG00000004948.16,0.0
ENSG00000004961.15,1.56919
ENSG00000004975.12,2.840493
ENSG00000005001.10,0.0
ENSG00000005007.14,32.557997
ENSG00000005020.13,22.050075999999997
ENSG00000005022.6,15.759419
ENSG00000005059.16,1.848338
ENSG00000005073.6,0.0
ENSG00000005075.16,10.997443
ENSG00000005100.13,0.439581
ENSG00000005102.14,0.01648
ENSG00000005108.17,0.0
ENSG00000005156.12,0.803218
ENSG00000005175.10,3.078194
ENSG00000005187.12,0.354406
ENSG00000005189.20,0.28887399999999996
ENSG00000005194.15,1.816157
ENSG00000005206.17,8.002522
ENSG00000005238.20,33.043993
ENSG00000005243.10,1.075438
ENSG00000005249.14,10.097409
ENSG00000005302.19,20.323695999999998
ENSG00000005339.15,32.192412
ENSG00000005379.17,0.485318
ENSG00000005381.9,5.2903
ENSG00000005421.9,0.0
ENSG00000005436.14,0.250787
ENSG00000005448.17,0.875637
ENSG00000005469.12,0.5543370000000001
ENSG00000005471.19,0.0
ENSG00000005483.23,8.571962
ENSG00000005486.17,15.185879
ENSG00000005513.11,0.026362
ENSG00000005700.15,0.46156200000000003
ENSG00000005801.18,0.742931
ENSG00000005810.20,5.752852
ENSG00000005812.11,5.32269
ENSG00000005844.19,39.460325
ENSG00000005882.12,1.490549
ENSG00000005884.18,0.8581300000000001
ENSG00000005889.16,2.066241
ENSG00000005893.17,31.277307
ENSG00000005961.19,64.528771
ENSG00000005981.13,0.045214
ENSG00000006007.12,15.289664
ENSG00000006015.18,9.107334999999999
ENSG00000006016.12,0.0
ENSG00000006025.13,0.7792209999999999
ENSG00000006042.12,2.3807820000000004
ENSG00000006047.13,0.0
ENSG00000006059.4,0.0
ENSG00000006062.18,2.641566
ENSG00000006071.16,0.015353
ENSG00000006116.4,0.0
ENSG00000006118.15,0.0
ENSG00000006125.18,8.487046
ENSG00000006128.12,0.0
ENSG00000006194.12,1.391372
ENSG00000006210.7,0.017355
ENSG00000006282.22,3.191691
ENSG00000006283.18,0.0
ENSG00000006327.14,0.837211
ENSG00000006377.11,0.0
ENSG00000006432.16,0.129455
ENSG00000006451.8,1.136962
ENSG00000006453.14,0.0
ENSG00000006459.11,4.00428
ENSG00000006468.15,0.0
ENSG00000006530.18,0.8867200000000001
ENSG00000006534.17,27.815165999999998
ENSG00000006555.11,0.699425
ENSG00000006576.17,0.5738160000000001
ENSG00000006606.9,0.0
ENSG00000006607.14,0.640692
ENSG00000006611.17,0.0
ENSG00000006625.18,0.48386
ENSG00000006634.8,0.133664
ENSG00000006638.13,3.887749
ENSG00000006652.15,21.203325
ENSG00000006659.13,0.0
ENSG00000006695.12,0.458679
ENSG00000006704.11,0.149127
ENSG00000006712.15,21.169249999999998
ENSG00000006715.16,4.2483319999999996
ENSG00000006740.18,0.009561
ENSG00000006744.19,2.188736
ENSG00000006747.15,0.064509
ENSG00000006756.16,2.704167
ENSG00000006757.12,0.47501000000000004
ENSG00000006788.14,0.0
ENSG00000006831.10,3.36019
ENSG00000006837.12,0.376544
ENSG00000007001.14,0.0
ENSG00000007038.11,0.258612
ENSG00000007047.16,14.010227
ENSG00000007062.12,0.0
ENSG00000007080.11,13.805366999999999
ENSG00000007129.18,1.4946169999999999
ENSG00000007168.15,17.813833
ENSG00000007171.19,0.008286
ENSG00000007174.18,0.049705
ENSG00000007202.16,10.232301
ENSG00000007216.16,0.0
ENSG00000007237.19,57.255315
ENSG00000007255.10,3.8525679999999998
ENSG00000007264.15,2.18793
ENSG00000007306.15,0.0
ENSG00000007312.14,3.0426729999999997
ENSG00000007314.12,0.0
ENSG00000007341.19,2.115443
ENSG00000007350.18,0.310465
ENSG00000007372.25,0.0
