gene,TPM
ENSG00000000003.16,0.098244
ENSG00000000005.6,0.0
ENSG00000000419.14,12.500891
ENSG00000000457.14,4.126802
ENSG00000000460.17,0.248453
ENSG00000000938.13,410.503937
ENSG00000000971.17,1.086529
ENSG00000001036.14,10.640439
ENSG00000001084.13,5.617433999999999
ENSG00000001167.15,3.722759
ENSG00000001460.18,0.596886
ENSG00000001461.19,5.234437
ENSG00000001497.18,9.870618
ENSG00000001561.7,0.5526
ENSG00000001617.12,0.0
ENSG00000001626.18,0.0
ENSG00000001629.10,1.086608
ENSG00000001630.18,1.659291
ENSG00000001631.17,2.306742
ENSG00000002016.18,1.896096
ENSG00000002330.14,71.321905
ENSG00000002549.13,21.133748
ENSG00000002586.20,335.518193
ENSG00000002587.10,0.328032
ENSG00000002726.21,0.653489
ENSG00000002745.13,0.0
ENSG00000002746.15,0.0
ENSG00000002822.16,175.46065000000002
ENSG00000002834.19,120.949893
ENSG00000002919.15,39.667551
ENSG00000002933.9,101.431813
ENSG00000003056.8,94.345865
ENSG00000003096.15,0.28656
ENSG00000003137.9,0.0
ENSG00000003147.19,4.958738
ENSG00000003249.15,2.65395
ENSG00000003393.16,2.3555390000000003
ENSG00000003400.16,7.662382
ENSG00000003402.21,147.8661
ENSG00000003436.16,0.191517
ENSG00000003509.16,5.854926
ENSG00000003756.17,121.975313
ENSG00000003987.14,0.0
ENSG00000003989.18,0.0
ENSG00000004059.11,465.346779
ENSG00000004139.14,3.9992760000000005
ENSG00000004142.12,25.214587
ENSG00000004399.13,42.325606
ENSG00000004455.18,40.273696
ENSG00000004468.13,7.228542000000001
ENSG00000004478.8,9.857948
ENSG00000004487.18,26.077336000000003
ENSG00000004534.15,69.80276699999999
ENSG00000004660.15,11.049565999999999
ENSG00000004700.16,5.013448
ENSG00000004766.17,2.182496
ENSG00000004776.13,0.13805
ENSG00000004777.19,2.937882
ENSG00000004779.10,65.083882
ENSG00000004799.8,4.791687
ENSG00000004809.14,1.271268
ENSG00000004838.14,1.329318
ENSG00000004846.17,0.0
ENSG00000004848.8,0.0
ENSG00000004864.14,2.1435
ENSG00000004866.22,2.930166
ENSG00000004897.12,3.162449
ENSG00000004939.16,83.573206
ENSG00000004948.16,0.0
ENSG00000004961.15,11.461264
ENSG00000004975.12,5.0941410000000005
ENSG00000005001.10,0.0
ENSG00000005007.14,43.078619
ENSG00000005020.13,16.329213
ENSG00000005022.6,145.728473
ENSG00000005059.16,17.857321
ENSG00000005073.6,0.0
ENSG00000005075.16,102.286246
ENSG00000005100.13,1.217213
ENSG00000005102.14,0.77785
ENSG00000005108.17,0.0
ENSG00000005156.12,4.904309
ENSG00000005175.10,5.94827
ENSG00000005187.12,2.36537
ENSG00000005189.20,0.43656
ENSG00000005194.15,20.137543
ENSG00000005206.17,25.155725
ENSG00000005238.20,36.616919
ENSG00000005243.10,5.872401
ENSG00000005249.14,3.9476359999999997
ENSG00000005302.19,47.007257
ENSG00000005339.15,9.568801
ENSG00000005379.17,8.832305
ENSG00000005381.9,5.128713
ENSG00000005421.9,0.0
ENSG00000005436.14,3.245579
ENSG00000005448.17,19.179994
ENSG00000005469.12,2.262061
