gene,TPM
ENSG00000000003.16,0.024522
ENSG00000000005.6,0.0
ENSG00000000419.14,10.894988
ENSG00000000457.14,3.791678
ENSG00000000460.17,0.8294760000000001
ENSG00000000938.13,364.240434
ENSG00000000971.17,0.6331610000000001
ENSG00000001036.14,7.1379529999999995
ENSG00000001084.13,3.4923580000000003
ENSG00000001167.15,6.088514
ENSG00000001460.18,0.420313
ENSG00000001461.19,3.887486
ENSG00000001497.18,5.606635
ENSG00000001561.7,0.512482
ENSG00000001617.12,0.0
ENSG00000001626.18,0.0
ENSG00000001629.10,1.546909
ENSG00000001630.18,1.276439
ENSG00000001631.17,2.921876
ENSG00000002016.18,3.808282
ENSG00000002330.14,21.431696000000002
ENSG00000002549.13,18.896877
ENSG00000002586.20,99.496497
ENSG00000002587.10,0.075642
ENSG00000002726.21,0.077541
ENSG00000002745.13,0.083738
ENSG00000002746.15,0.0
ENSG00000002822.16,24.786226
ENSG00000002834.19,101.497367
ENSG00000002919.15,33.393827
ENSG00000002933.9,3.975692
ENSG00000003056.8,73.96753100000001
ENSG00000003096.15,0.080965
ENSG00000003137.9,0.0
ENSG00000003147.19,2.8788650000000002
ENSG00000003249.15,1.260128
ENSG00000003393.16,1.685656
ENSG00000003400.16,9.044208000000001
ENSG00000003402.21,154.818758
ENSG00000003436.16,0.32756100000000005
ENSG00000003509.16,4.612098
ENSG00000003756.17,109.59654900000001
ENSG00000003987.14,0.0
ENSG00000003989.18,0.0
ENSG00000004059.11,156.48040699999999
ENSG00000004139.14,2.994034
ENSG00000004142.12,19.343946
ENSG00000004399.13,25.146912999999998
ENSG00000004455.18,30.069201
ENSG00000004468.13,0.8423
ENSG00000004478.8,5.86005
ENSG00000004487.18,9.115231999999999
ENSG00000004534.15,49.369194
ENSG00000004660.15,11.02693
ENSG00000004700.16,6.035351
ENSG00000004766.17,3.022236
ENSG00000004776.13,0.0
ENSG00000004777.19,5.335921
ENSG00000004779.10,22.265192999999996
ENSG00000004799.8,2.157493
ENSG00000004809.14,1.20366
ENSG00000004838.14,1.585862
ENSG00000004846.17,0.061453
ENSG00000004848.8,0.0
ENSG00000004864.14,4.275996
ENSG00000004866.22,0.802595
ENSG00000004897.12,6.095508000000001
ENSG00000004939.16,9.617073
ENSG00000004948.16,0.0
ENSG00000004961.15,6.745413
ENSG00000004975.12,10.141827000000001
ENSG00000005001.10,0.055351
ENSG00000005007.14,42.742343999999996
ENSG00000005020.13,19.626117
ENSG00000005022.6,60.43087
ENSG00000005059.16,18.147094
ENSG00000005073.6,0.0
ENSG00000005075.16,40.510851
ENSG00000005100.13,1.2996329999999998
ENSG00000005102.14,1.281458
ENSG00000005108.17,0.008401
ENSG00000005156.12,3.028183
ENSG00000005175.10,9.360822
ENSG00000005187.12,2.308652
ENSG00000005189.20,0.40415
ENSG00000005194.15,11.61978
ENSG00000005206.17,28.98582
ENSG00000005238.20,38.596948
ENSG00000005243.10,0.9933179999999999
ENSG00000005249.14,1.628987
ENSG00000005302.19,23.202514
ENSG00000005339.15,24.137191
ENSG00000005379.17,10.220036
ENSG00000005381.9,1.730752
ENSG00000005421.9,0.0
ENSG00000005436.14,1.71829
ENSG00000005448.17,5.539486
ENSG00000005469.12,1.047033
ENSG00000005471.19,0.963702
ENSG00000005483.23,9.471579
ENSG00000005486.17,29.914376
ENSG00000005513.11,0.219332
ENSG00000005700.15,2.059656
ENSG00000005801.18,3.496679
ENSG00000005810.20,8.450523
ENSG00000005812.11,6.001367999999999
ENSG00000005844.19,143.463135
ENSG00000005882.12,7.540023
ENSG00000005884.18,0.855748
ENSG00000005889.16,1.354169
ENSG00000005893.17,52.679264
ENSG00000005961.19,3.100454
ENSG00000005981.13,0.048826
ENSG00000006007.12,20.297705
ENSG00000006015.18,41.146077
ENSG00000006016.12,0.0
ENSG00000006025.13,12.515524
ENSG00000006042.12,0.627382
ENSG00000006047.13,0.08731
ENSG00000006059.4,0.0
ENSG00000006062.18,15.628758
ENSG00000006071.16,0.071228
ENSG00000006116.4,0.0
ENSG00000006118.15,0.0
ENSG00000006125.18,18.672126000000002
ENSG00000006128.12,0.0
ENSG00000006194.12,8.644777000000001
ENSG00000006210.7,0.0
