gene,TPM
ENSG00000000003.16,0.202345
ENSG00000000005.6,0.0
ENSG00000000419.14,4.87319
ENSG00000000457.14,0.943263
ENSG00000000460.17,0.179614
ENSG00000000938.13,29.499126
ENSG00000000971.17,0.83318
ENSG00000001036.14,1.859939
ENSG00000001084.13,1.262941
ENSG00000001167.15,0.327983
ENSG00000001460.18,1.833794
ENSG00000001461.19,6.911189
ENSG00000001497.18,1.848877
ENSG00000001561.7,0.568355
ENSG00000001617.12,0.0
ENSG00000001626.18,0.0
ENSG00000001629.10,1.662925
ENSG00000001630.18,1.341109
ENSG00000001631.17,5.564263
ENSG00000002016.18,1.736696
ENSG00000002330.14,3.438114
ENSG00000002549.13,6.600514
ENSG00000002586.20,46.32127
ENSG00000002587.10,0.121267
ENSG00000002726.21,0.102711
ENSG00000002745.13,0.018721
ENSG00000002746.15,1.329549
ENSG00000002822.16,9.980185
ENSG00000002834.19,1.707726
ENSG00000002919.15,15.786857000000001
ENSG00000002933.9,15.065086999999998
ENSG00000003056.8,1.63975
ENSG00000003096.15,0.0
ENSG00000003137.9,0.0
ENSG00000003147.19,0.919662
ENSG00000003249.15,0.272644
ENSG00000003393.16,2.547316
ENSG00000003400.16,3.652772
ENSG00000003402.21,27.370677
ENSG00000003436.16,0.866427
ENSG00000003509.16,1.839167
ENSG00000003756.17,19.416743
ENSG00000003987.14,0.022342
ENSG00000003989.18,0.0
ENSG00000004059.11,0.086302
ENSG00000004139.14,0.094886
ENSG00000004142.12,4.547081
ENSG00000004399.13,9.184773999999999
ENSG00000004455.18,3.165464
ENSG00000004468.13,1.250412
ENSG00000004478.8,0.344354
ENSG00000004487.18,5.266222
ENSG00000004534.15,15.894093999999999
ENSG00000004660.15,0.401159
ENSG00000004700.16,0.191441
ENSG00000004766.17,1.612856
ENSG00000004776.13,0.0
ENSG00000004777.19,0.165519
ENSG00000004779.10,61.002415
ENSG00000004799.8,0.40503
ENSG00000004809.14,0.251344
ENSG00000004838.14,0.0
ENSG00000004846.17,0.270548
ENSG00000004848.8,0.0
ENSG00000004864.14,2.0906089999999997
ENSG00000004866.22,0.288181
ENSG00000004897.12,0.797813
ENSG00000004939.16,14.587386
ENSG00000004948.16,0.0
ENSG00000004961.15,1.68505
ENSG00000004975.12,1.84337
ENSG00000005001.10,0.0
ENSG00000005007.14,6.934742
ENSG00000005020.13,12.425867
ENSG00000005022.6,33.282849
ENSG00000005059.16,10.282238
ENSG00000005073.6,0.0
ENSG00000005075.16,10.181794
ENSG00000005100.13,0.62805
ENSG00000005102.14,0.022397
ENSG00000005108.17,0.015653
ENSG00000005156.12,1.4196060000000001
ENSG00000005175.10,9.657986
ENSG00000005187.12,4.528212999999999
ENSG00000005189.20,0.069189
ENSG00000005194.15,2.981966
ENSG00000005206.17,2.135627
ENSG00000005238.20,1.828427
ENSG00000005243.10,0.603225
ENSG00000005249.14,2.967886
ENSG00000005302.19,8.539418
ENSG00000005339.15,27.817
ENSG00000005379.17,1.49996
ENSG00000005381.9,0.054913
ENSG00000005421.9,0.079184
ENSG00000005436.14,0.780876
ENSG00000005448.17,10.844453999999999
ENSG00000005469.12,1.554817
ENSG00000005471.19,2.248976
ENSG00000005483.23,27.795248
ENSG00000005486.17,4.982447
ENSG00000005513.11,0.019272
ENSG00000005700.15,1.525801
ENSG00000005801.18,3.470121
ENSG00000005810.20,11.750645
ENSG00000005812.11,2.4153919999999998
ENSG00000005844.19,16.447988000000002
ENSG00000005882.12,1.586967
ENSG00000005884.18,0.688621
ENSG00000005889.16,5.331121
ENSG00000005893.17,8.776368999999999
ENSG00000005961.19,30.246119
ENSG00000005981.13,0.0
ENSG00000006007.12,4.625022
ENSG00000006015.18,60.362719
ENSG00000006016.12,0.0
ENSG00000006025.13,0.477067
ENSG00000006042.12,2.651962
ENSG00000006047.13,0.0
ENSG00000006059.4,0.0
ENSG00000006062.18,0.13474
ENSG00000006071.16,0.0
ENSG00000006116.4,0.0
ENSG00000006118.15,6.659277
ENSG00000006125.18,50.71716200000001
ENSG00000006128.12,0.0
ENSG00000006194.12,1.054347
ENSG00000006210.7,0.384945
ENSG00000006282.22,0.209077
ENSG00000006283.18,0.0
ENSG00000006327.14,0.430192
ENSG00000006377.11,0.0
ENSG00000006432.16,0.060663
ENSG00000006451.8,9.163245
ENSG00000006453.14,0.0
ENSG00000006459.11,1.2063199999999998
ENSG00000006468.15,0.0
ENSG00000006530.18,1.18228
ENSG00000006534.17,2.239804
ENSG00000006555.11,0.568777
ENSG00000006576.17,1.396973
ENSG00000006606.9,0.0
ENSG00000006607.14,0.547591
ENSG00000006611.17,0.0
ENSG00000006625.18,3.134868
ENSG00000006634.8,0.423664
ENSG00000006638.13,8.400288
ENSG00000006652.15,3.63432
ENSG00000006659.13,0.0
ENSG00000006695.12,1.118398
ENSG00000006704.11,0.243755
ENSG00000006712.15,4.343218
ENSG00000006715.16,3.671042
ENSG00000006740.18,0.269332
ENSG00000006744.19,1.5350409999999999
ENSG00000006747.15,0.760888
ENSG00000006756.16,2.2072529999999997
ENSG00000006757.12,0.421382
ENSG00000006788.14,0.0
ENSG00000006831.10,2.232304
ENSG00000006837.12,0.161578
ENSG00000007001.14,0.0
ENSG00000007038.11,0.645544
ENSG00000007047.16,0.8241299999999999
ENSG00000007062.12,0.026489
ENSG00000007080.11,6.01604
ENSG00000007129.18,3.739792
ENSG00000007168.15,6.905992
ENSG00000007171.19,0.0
ENSG00000007174.18,0.328471
ENSG00000007202.16,1.245109
ENSG00000007216.16,0.0
ENSG00000007237.19,0.911109
ENSG00000007255.10,15.860064
ENSG00000007264.15,2.6549009999999997
ENSG00000007306.15,0.0
ENSG00000007312.14,10.447199
ENSG00000007314.12,0.0
ENSG00000007341.19,2.378101
ENSG00000007350.18,0.502687
ENSG00000007372.25,0.0
ENSG00000007376.8,1.056817
ENSG00000007384.15,0.019799
ENSG00000007392.17,4.525818
ENSG00000007402.12,0.139564
ENSG00000007516.15,2.340496
ENSG00000007520.4,3.64797
ENSG00000007541.17,1.7481339999999999
ENSG00000007545.16,0.552952
ENSG00000007866.22,0.0
ENSG00000007908.16,0.0
ENSG00000007923.17,0.27216599999999996
ENSG00000007933.13,1.282067
ENSG00000007944.16,5.496416
ENSG00000007952.18,0.350583
ENSG00000007968.7,1.390598
ENSG00000008018.9,32.407045
ENSG00000008056.14,0.0
ENSG00000008083.14,8.547272
ENSG00000008086.13,1.313327
ENSG00000008118.10,0.0
ENSG00000008128.23,6.853699000000001
ENSG00000008130.15,5.744753
ENSG00000008196.13,0.0
ENSG00000008197.5,0.0
ENSG00000008226.20,4.309136
ENSG00000008256.17,0.397684
ENSG00000008277.15,0.079354
ENSG00000008282.10,5.664782
ENSG00000008283.16,1.766664
ENSG00000008294.22,4.056881
ENSG00000008300.17,0.023235
ENSG00000008311.16,0.419525
ENSG00000008323.16,0.277464
ENSG00000008324.12,1.948579
ENSG00000008382.16,9.640632
ENSG00000008394.13,5.1788170000000004
ENSG00000008405.12,1.110797
ENSG00000008438.5,6.045417
ENSG00000008441.19,1.375755
ENSG00000008513.17,8.940116
ENSG00000008516.19,26.2342
ENSG00000008517.19,51.442381
ENSG00000008710.20,0.0
ENSG00000008735.14,0.0
ENSG00000008838.21,3.067515
ENSG00000008853.18,1.9238
ENSG00000008869.12,0.9541550000000001
ENSG00000008952.17,76.079455
ENSG00000008988.11,462.148421
ENSG00000009307.17,17.855449
ENSG00000009335.19,5.5108630000000005
ENSG00000009413.17,0.7249840000000001
ENSG00000009694.14,0.124706
ENSG00000009709.13,0.0
ENSG00000009724.18,0.0
ENSG00000009765.15,0.077044
ENSG00000009780.16,3.109826
ENSG00000009790.15,7.72747
ENSG00000009830.13,0.432298
ENSG00000009844.16,2.32144
