Name   , Term                                                                                                                                        , ES                  , NES                 , NOM p-val           , FDR q-val           , FWER p-val, Tag %  , Gene %, Lead_genes
prerank, Reactome_2022__Synthesis Of Bile Acids And Bile Salts Via 7Alpha-Hydroxycholesterol R-HSA-193368                                            , 0.6210801329369622  , 2.153260964496108   , 0.0                 , 0.039616112370659526,       0.04, 6/16   , 5.37% , SLC27A5;AKR1C3;RXRA;BAAT;HSD17B4;ACOX2
prerank, KEGG_2021_Human__SNARE interactions in vesicular transport                                                                                  , -0.4864247938519909 , -1.8756314495999318 , 0.0                 , 1.0                 ,       0.56, 13/32  , 21.97%, STX8;VAMP3;STX16;BET1L;VAMP5;SNAP23;SEC22B;VAMP7;USE1;BET1;SNAP29;STX6;VAMP2
prerank, Reactome_2022__Signaling By FGFR3 R-HSA-5654741                                                                                             , 0.44932196722770146 , 1.833865428713217   , 0.0                 , 0.8269863457375176  ,       0.68, 9/28   , 12.08%, FGF13;MAPK1;PTPN11;PPP2R1A;SRC;GALNT3;MKNK1;NRAS;RPS27A
prerank, Reactome_2022__Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471                                                , -0.4486620029583741 , -1.8032411060325735 , 0.0                 , 1.0                 ,       0.75, 13/37  , 15.41%, TP53;CCT2;FBXW9;ARFGEF2;WRAP53;CCT7;CCT6B;CCNE1;KIFC3;HDAC3;FBXL5;NOP56;FKBP9
prerank, Reactome_2022__Signaling By BMP R-HSA-201451                                                                                                , 0.5181855145011398  , 1.7951455606247952  , 0.0                 , 0.752706135042531   ,       0.8 , 6/18   , 5.80% , BMPR2;SMAD5;SMAD4;SMURF2;SKI;SMURF1
prerank, Reactome_2022__Nephrin Family Interactions R-HSA-373753                                                                                     , 0.5150814121871318  , 1.7802548290355187  , 0.0                 , 0.6586178681622146  ,       0.83, 5/17   , 6.80% , ACTN1;MAGI2;SPTAN1;WASL;CASK
prerank, Reactome_2022__Negative Regulation Of FGFR2 Signaling R-HSA-5654727                                                                         , 0.515947608091333   , 1.7768979373727793  , 0.0                 , 0.5407599338595027  ,       0.83, 7/19   , 12.08%, FGF13;MAPK1;PTPN11;PPP2R1A;SRC;MKNK1;RPS27A
prerank, Reactome_2022__Downregulation Of SMAD2/3:SMAD4 Transcriptional Activity R-HSA-2173795                                                       , 0.4568051767797991  , 1.774551372552162   , 0.0                 , 0.4638386490064719  ,       0.83, 7/30   , 5.25% , MAPK1;USP9X;TGIF1;SMAD2;SMAD4;SMURF2;SKI
prerank, Reactome_2022__Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505                             , -0.4657787160449602 , -1.768676970149089  , 0.0                 , 1.0                 ,       0.91, 14/34  , 17.45%, MTAP;PSME2;VPS72;TALDO1;RPLP0;HNRNPDL;PKN2;CNN2;S100A9;GSTO1;PDCD4;AURKAIP1;HNRNPF;RAP1B
prerank, Reactome_2022__Negative Regulation Of FGFR1 Signaling R-HSA-5654726                                                                         , 0.5146017404644383  , 1.7570686692941258  , 0.020833333333333332, 0.4527555699503946  ,       0.87, 7/19   , 12.08%, FGF13;MAPK1;PTPN11;PPP2R1A;SRC;MKNK1;RPS27A
prerank, Reactome_2022__Negative Regulation Of FGFR4 Signaling R-HSA-5654733                                                                         , 0.5162998776056542  , 1.7497171858953575  , 0.02127659574468085 , 0.42463520447300684 ,       0.88, 7/19   , 12.08%, FGF13;MAPK1;PTPN11;PPP2R1A;SRC;MKNK1;RPS27A
prerank, Reactome_2022__Bile Acid And Bile Salt Metabolism R-HSA-194068                                                                              , 0.4307539545277863  , 1.7486980568264183  , 0.022727272727272728, 0.38075485778467216 ,       0.88, 7/28   , 5.37% , SLC27A5;AKR1C3;SLCO1A2;RXRA;BAAT;HSD17B4;ACOX2
prerank, Reactome_2022__Negative Regulation Of FGFR3 Signaling R-HSA-5654732                                                                         , 0.5320540429556507  , 1.7405253736787503  , 0.022727272727272728, 0.3654586366193342  ,       0.88, 7/18   , 12.08%, FGF13;MAPK1;PTPN11;PPP2R1A;SRC;MKNK1;RPS27A
prerank, Reactome_2022__Signaling By TGF-beta Receptor Complex R-HSA-170834                                                                          , 0.3545271159435281  , 1.7203772561177997  , 0.0                 , 0.38625709561393046 ,       0.9 , 17/85  , 6.02% , BAMBI;MAPK1;USP9X;DAND5;TGIF1;PRKCZ;LTBP4;CCNC;SMAD2;CDK8;RNASEH2A;SMAD4;CCNK;SMURF2;SKI;SMURF1;UBE2M
prerank, KEGG_2021_Human__Glucagon signaling pathway                                                                                                 , -0.3524957938963025 , -1.7138836272064353 , 0.0                 , 1.0                 ,       0.99, 33/77  , 24.92%, EP300;PPP3CC;LDHB;CALML4;ATF4;PDE3B;PFKM;PYGB;PHKG1;LDHA;CPT1B;PLCB1;CAMK2G;AKT3;CALM2;CALM1;PHKG2;ITPR1;SIK1;FBP1;GYS1;ITPR3;CPT1A;CPT1C;PLCB4;CREB5;CREB3L4;PGAM1;PPP4R3B;CREB3;PYGL;ITPR2;FOXO1
prerank, Reactome_2022__Activation Of IRF3/IRF7 Mediated By TBK1/IKK Epsilon R-HSA-936964                                                            , 0.5174021418652902  , 1.7102089963108205  , 0.045454545454545456, 0.38460642426515285 ,       0.92, 4/17   , 2.11% , TICAM1;IKBKE;PTPN11;TBK1
prerank, Reactome_2022__Signaling By FGFR4 R-HSA-5654743                                                                                             , 0.4173563615140811  , 1.7093241964014194  , 0.0                 , 0.3557831630211154  ,       0.92, 8/28   , 12.08%, FGF13;MAPK1;PTPN11;PPP2R1A;SRC;MKNK1;NRAS;RPS27A
prerank, Reactome_2022__Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793                                                     , 0.4083287485473092  , 1.706379655653494   , 0.0                 , 0.3409815386188909  ,       0.92, 12/49  , 5.25% , MAPK1;USP9X;DAND5;TGIF1;CCNC;SMAD2;CDK8;RNASEH2A;SMAD4;CCNK;SMURF2;SKI
prerank, Reactome_2022__Signaling By PDGF R-HSA-186797                                                                                               , 0.383542218089982   , 1.70337060509464    , 0.02127659574468085 , 0.3288137326764741  ,       0.93, 17/44  , 19.03%, PDGFD;PTPN11;PLAT;PDGFRB;SRC;COL6A1;STAT6;THBS4;COL4A4;PDGFRA;COL9A1;NRAS;STAT5B;COL6A2;PIK3CB;PLCG1;CRKL
prerank, KEGG_2021_Human__Arginine biosynthesis                                                                                                      , -0.569143604928321  , -1.6906198640807815 , 0.0                 , 1.0                 ,       1.0 , 7/15   , 18.84%, ARG2;GPT2;GLUD1;ABHD14A-ACY1;ARG1;CPS1;GLS
prerank, Reactome_2022__Signaling By TGFB Family Members R-HSA-9006936                                                                               , 0.3390904478099911  , 1.686624499935549   , 0.0                 , 0.3460219814874793  ,       0.97, 19/99  , 6.02% , BAMBI;MAPK1;USP9X;DAND5;TGIF1;PRKCZ;LTBP4;CCNC;SMAD2;CDK8;BMPR2;RNASEH2A;SMAD5;SMAD4;CCNK;SMURF2;SKI;SMURF1;UBE2M
prerank, Reactome_2022__RHOF GTPase Cycle R-HSA-9035034                                                                                              , -0.4167604222988068 , -1.667988013899111  , 0.03508771929824561 , 1.0                 ,       1.0 , 11/37  , 12.40%, VAMP3;ARHGAP5;FAM169A;BAIAP2L1;CAPZB;STEAP3;RHOF;SNAP23;ARHGAP1;TMPO;DIAPH1
prerank, Reactome_2022__Iron Uptake And Transport R-HSA-917937                                                                                       , -0.3708566908551111 , -1.6624010894221226 , 0.0                 , 1.0                 ,       1.0 , 15/50  , 16.24%, ABCG2;CYBRD1;STEAP3;SKP1;CUL1;ATP6V0B;SLC40A1;SLC11A2;ATP6V1A;FBXL5;TFR2;HFE;ATP6V1F;ACO1;FTH1
prerank, Reactome_2022__Interleukin-12 Signaling R-HSA-9020591                                                                                       , -0.40303291323068935, -1.659950046823008  , 0.0                 , 1.0                 ,       1.0 , 23/42  , 30.16%, MTAP;PSME2;VPS72;TALDO1;RPLP0;HNRNPDL;VAMP7;PKN2;CNN2;S100A9;GSTO1;PDCD4;AURKAIP1;HNRNPF;RAP1B;TYK2;CDC42;SERPINB2;P4HB;STAT4;IL12A;MSN;JAK2
prerank, Reactome_2022__Transcription Of E2F Targets Under Negative Control By P107 (RBL1) And P130 (RBL2) In Complex With HDAC1 R-HSA-1362300       , -0.4971059058025531 , -1.652905140548949  , 0.017543859649122806, 0.9560657558293142  ,       1.0 , 8/16   , 22.56%, LIN52;RBL2;E2F4;RBBP4;CDK1;E2F1;LIN37;LIN9
prerank, Reactome_2022__Synthesis Of Bile Acids And Bile Salts R-HSA-192105                                                                          , 0.4186526460561828  , 1.651611719196741   , 0.022222222222222223, 0.4235428484333747  ,       0.99, 6/24   , 5.37% , SLC27A5;AKR1C3;RXRA;BAAT;HSD17B4;ACOX2
prerank, Reactome_2022__Transcriptional Regulation Of Pluripotent Stem Cells R-HSA-452723                                                            , 0.48148029472577114 , 1.634750340589089   , 0.0                 , 0.4555852922625846  ,       1.0 , 4/15   , 5.02% , FGF13;SMAD2;SMAD4;PBX1
prerank, Reactome_2022__Protein Methylation R-HSA-8876725                                                                                            , -0.4824828277838686 , -1.6335691420816685 , 0.017543859649122806, 0.991442427824872   ,       1.0 , 8/17   , 20.80%, METTL21A;CAMKMT;ETFBKMT;EEF2;EEF1A1;CALM1;HSPA8;METTL22
prerank, Reactome_2022__TP53 Regulates Transcription Of Additional Cell Cycle Genes With Uncertain Roles In P53 Pathway R-HSA-6804115                , -0.44947146501560814, -1.6268607384610088 , 0.04081632653061224 , 0.927874334244822   ,       1.0 , 6/20   , 8.22% , TP53;CNOT6L;CNOT7;CNOT10;NPM1;PLK3
prerank, Reactome_2022__SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796                                                         , 0.4055019910366935  , 1.6213021104493288  , 0.023809523809523808, 0.46601058499170545 ,       1.0 , 9/35   , 5.11% , MAPK1;DAND5;TGIF1;CCNC;SMAD2;CDK8;RNASEH2A;SMAD4;CCNK
prerank, Reactome_2022__Downstream Signal Transduction R-HSA-186763                                                                                  , 0.40754283972064365 , 1.6202391232102469  , 0.019230769230769232, 0.446176465574553   ,       1.0 , 10/26  , 19.03%, PTPN11;PDGFRB;SRC;STAT6;PDGFRA;NRAS;STAT5B;PIK3CB;PLCG1;CRKL
prerank, Reactome_2022__RHOJ GTPase Cycle R-HSA-9013409                                                                                              , -0.38221267903766626, -1.592378064023302  , 0.017543859649122806, 1.0                 ,       1.0 , 14/50  , 11.33%, VAMP3;ARHGAP5;CPNE8;OPHN1;STEAP3;CDC42EP1;LAMTOR1;JUP;WIPF2;SNAP23;ARHGAP1;PKN2;TMPO;TRIO
prerank, KEGG_2021_Human__Gastric acid secretion                                                                                                     , -0.3596269298667836 , -1.5723497328553153 , 0.0                 , 1.0                 ,       1.0 , 18/49  , 19.19%, GNAI1;CALML4;HRH2;MYLK;PLCB1;CAMK2G;KCNJ2;ATP1A1;MYLK4;CALM2;ATP1B2;ACTG1;CALM1;ITPR1;ITPR3;ADCY7;PLCB4;EZR
prerank, Reactome_2022__RHOG GTPase Cycle R-HSA-9013408                                                                                              , -0.35781274230199   , -1.5567572034813828 , 0.01818181818181818 , 1.0                 ,       1.0 , 15/65  , 11.33%, VAMP3;ARHGAP5;OPHN1;CDC42EP1;LAMTOR1;DOCK5;DOCK4;VAV3;MAP3K11;ARHGAP1;ARHGEF5;PKN2;VAPB;TMPO;TRIO
prerank, Reactome_2022__Activation Of BAD And Translocation To Mitochondria R-HSA-111447                                                             , 0.437484408594641   , 1.5559341364785721  , 0.027777777777777776, 0.6597969191256272  ,       1.0 , 3/15   , 1.97% , BAD;BID;PPP3R1
