Name   , Term                                                                                                                                        , ES                  , NES                 , NOM p-val           , FDR q-val         , FWER p-val, Tag %  , Gene %, Lead_genes
prerank, Reactome_2022__Basigin Interactions R-HSA-210991                                                                                            , 0.39928535054101183 , 1.8066907758899775  , 0.0                 , 0.6584286803966438,       0.6 , 4/20   , 2.87% , SLC7A8;ITGA3;ITGB1;L1CAM
prerank, Reactome_2022__RND1 GTPase Cycle R-HSA-9696273                                                                                              , -0.46173346085643713, -1.8001597577635895 , 0.0                 , 1.0               ,       0.81, 11/35  , 15.11%, EPSTI1;TXNL1;ARHGAP35;DST;ARHGAP5;PIK3R1;TFRC;DLG5;STIP1;KIDINS220;VANGL1
prerank, Reactome_2022__E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654                                                              , -0.41839732140994423, -1.7525802141413271 , 0.0                 , 1.0               ,       0.93, 28/54  , 28.74%, RNF181;PEX2;PAF1;UBC;CTR9;SHPRH;UBE2B;UBE2L3;RAD18;LEO1;UBE2N;H2BC11;UBE2E1;BCL10;UBE2J2;CDC73;RNF20;UBB;RPS27A;RNF40;PEX5;PEX14;VCP;UBE2D1;PRKDC;SKIC8;UBE2D2;HLTF
prerank, Reactome_2022__IRAK2 Mediated Activation Of TAK1 Complex Upon TLR7/8 Or 9 Stimulation R-HSA-975163                                          , -0.5349032583277382 , -1.733208677055518  , 0.014492753623188406, 1.0               ,       0.94, 8/15   , 19.10%, TMED7-TICAM2;UBC;TAB3;TICAM1;LY96;MAP3K7;UBB;RPS27A
prerank, Reactome_2022__Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948                                                                   , -0.5059050990023033 , -1.7303411224880707 , 0.0                 , 1.0               ,       0.94, 14/25  , 25.79%, DTX4;JAG1;ARRB1;NCSTN;UBC;ITCH;MIB1;NUMB;UBB;RPS27A;PSENEN;ADAM10;APH1B;DTX2
prerank, Reactome_2022__Spry Regulation Of FGF Signaling R-HSA-1295596                                                                               , -0.5076166451689481 , -1.7218594014926694 , 0.015151515151515152, 1.0               ,       0.95, 10/16  , 31.49%, PTPN11;MKNK1;UBC;MAPK1;GRB2;UBB;RPS27A;PPP2CA;SRC;SPRY2
prerank, Reactome_2022__Branched-chain Amino Acid Catabolism R-HSA-70895                                                                             , -0.47903852469250097, -1.7003327783241746 , 0.0                 , 1.0               ,       0.97, 9/21   , 22.44%, BCKDK;HIBADH;ACADSB;IVD;ALDH6A1;BCKDHA;LDHD;ECHS1;HSD17B10
prerank, Reactome_2022__Other Interleukin Signaling R-HSA-449836                                                                                     , -0.485135838679309  , -1.6951593249580865 , 0.0                 , 1.0               ,       0.97, 6/19   , 14.11%, CASP3;STX4;SNAP25;STXBP2;TYK2;CSF1
prerank, Reactome_2022__Signaling By NOTCH4 R-HSA-9013694                                                                                            , -0.3926990798740799 , -1.692232467300884  , 0.0                 , 1.0               ,       0.97, 44/78  , 33.55%, JAG1;PSMD6;NCSTN;UBC;PSMD7;PSMD9;HEY1;PSMC3;ACTA2;PSMB2;CUL1;PSME2;SMAD3;GATD3;TACC3;MAML2;KAT2B;RBPJ;UBB;RPS27A;AKT1;PSENEN;PSMD8;PSME3;ADAM10;PSMB6;APH1B;MAMLD1;CREBBP;PSMA1;PSMB4;PSMF1;KAT2A;PSME1;PSMA3;MAML1;FBXW7;PSMB1;PSMC4;SEM1;PSMA6;PSMD11;PSMA2;PSMD10
prerank, Reactome_2022__Protein Ubiquitination R-HSA-8852135                                                                                         , -0.3782220111628213 , -1.6792742028674847 , 0.0                 , 1.0               ,       0.98, 34/74  , 27.30%, RNF181;PEX2;PAF1;UBC;CTR9;USP9X;UBE2C;SHPRH;UBE2B;UBE2L3;RAD18;LEO1;UBE2N;UBE2G1;H2BC11;UBE2E1;BCL10;USP7;UBE2J2;CDC73;RNF20;UBB;RPS27A;RNF40;PEX5;UBE2Z;UBE2E3;PEX14;VCP;UBA1;UBE2D1;PRKDC;SKIC8;UBE2D2
