Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__RNA Polymerase I Transcription Termination R-HSA-73863,0.5810406987086957,2.1695835641043475,0.0,0.012508304071367563,0.01,12/29,15.02%,CCNH;POLR2K;TBP;POLR1F;POLR1D;ERCC2;POLR1B;POLR2F;MNAT1;POLR2H;POLR1A;TAF1C
prerank,Reactome_2022__Protein Methylation R-HSA-8876725,0.642948784017938,2.039557146319172,0.0,0.1313371927493594,0.15,9/17,10.13%,METTL22;EEF1A1;VCPKMT;METTL21A;EEF2;CAMKMT;PRMT3;ETFB;VCP
prerank,Reactome_2022__RNA Pol II CTD Phosphorylation And Interaction With CE R-HSA-77075,0.5202300422019864,1.9577753789719723,0.0,0.16677738761823416,0.28,9/27,11.86%,CCNH;POLR2K;ERCC2;RNGTT;POLR2I;POLR2F;POLR2D;MNAT1;POLR2H
prerank,KEGG_2021_Human__RNA polymerase,0.513368819128451,1.9089646009241978,0.0,0.200132865141881,0.41,13/31,11.86%,POLR3K;POLR2K;POLR1F;POLR1D;POLR1C;POLR2J3;POLR1B;POLR2I;POLR2F;POLR3D;POLR2D;POLR3H;POLR2H
prerank,Reactome_2022__RNA Polymerase II Transcription Termination R-HSA-73856,0.41106212407000975,1.868108603327623,0.0,0.24015943817025717,0.53,33/66,27.96%,SNRPG;ALYREF;EIF4A3;DHX38;ZNF473;THOC7;SNRPE;THOC6;POLDIP3;CPSF1;U2AF2;PAPOLA;SRSF1;SRSF3;UPF3B;LSM11;CHTOP;SRSF11;CSTF2;SNRPB;NUDT21;SRSF6;LSM10;CSTF2T;CSTF1;SRSF9;CDC40;SYMPK;THOC5;MAGOH;SRSF7;SRSF5;ZC3H11A
prerank,Reactome_2022__RHO GTPases Activate CIT R-HSA-5625900,-0.5837091705618428,-1.8394223773100877,0.0,1.0,0.67,6/18,9.97%,RHOB;KIF14;PPP1R12A;RHOC;RNASE1;MYL12B
prerank,Reactome_2022__mRNA Capping R-HSA-72086,0.4906171660269608,1.8144256971588966,0.0,0.33563949258169623,0.68,9/29,11.86%,CCNH;POLR2K;ERCC2;RNGTT;POLR2I;POLR2F;POLR2D;MNAT1;POLR2H
prerank,Reactome_2022__HIV Transcription Initiation R-HSA-167161,0.42272894833724783,1.7882904000093887,0.0,0.3788229233042747,0.75,11/44,11.86%,CCNH;POLR2K;TBP;TAF2;TAF5;ERCC2;POLR2I;POLR2F;POLR2D;MNAT1;POLR2H
prerank,Reactome_2022__Regulation Of Pyruvate Dehydrogenase (PDH) Complex R-HSA-204174,-0.6038531254282518,-1.7877807035770303,0.0,1.0,0.83,6/15,11.35%,DLAT;PDK2;PDP2;PDHA1;PDK4;PDPR
prerank,Reactome_2022__RNA Polymerase III Transcription Initiation From Type 2 Promoter R-HSA-76066,0.4856970584246306,1.78274983505787,0.024390243902439025,0.34085128594476605,0.75,9/26,11.86%,POLR3K;POLR2K;TBP;POLR1D;POLR2F;POLR3D;BRF1;POLR3H;POLR2H
prerank,Reactome_2022__G Beta:Gamma Signaling Thru CDC42 R-HSA-8964616,0.5253376023046415,1.7654813624123737,0.02127659574468085,0.34189364461738003,0.78,6/17,10.02%,GNB2;GNG5;ARHGEF6;GNG3;GNG10;GNG7
prerank,Reactome_2022__G Beta:Gamma Signaling Thru BTK R-HSA-8964315,0.5152933490816137,1.7652115724316335,0.022222222222222223,0.307704280155642,0.78,5/15,10.02%,GNB2;GNG5;GNG3;GNG10;GNG7
prerank,Reactome_2022__Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758,-0.5213471918368578,-1.7618871721822602,0.0,0.8579493875520737,0.85,8/29,7.39%,CHD3;AKT1;GATAD2A;BRD1;HDAC2;PIP4P1;MAP2K6;DPEP3
prerank,Reactome_2022__Activation Of G Protein Gated Potassium Channels R-HSA-1296041,0.5296591942986394,1.7413232194258987,0.0,0.3479582768944068,0.87,6/16,13.64%,GNB2;GNG5;GNG3;GNG10;GNG7;KCNJ15
prerank,Reactome_2022__Glutathione Conjugation R-HSA-156590,0.4508994027385226,1.7316707711443429,0.0,0.3533595900161336,0.9,12/29,15.62%,GGT6;GGT7;OPLAH;GSTA4;GGT1;HPGDS;GSTO1;GSTM1;MGST2;GSTP1;GCLM;GSTO2
prerank,Reactome_2022__RNA Polymerase III Transcription Initiation From Type 1 Promoter R-HSA-76061,0.47778422653822605,1.7300542033144584,0.047619047619047616,0.3300267920368518,0.9,9/27,11.86%,POLR3K;POLR2K;TBP;POLR1D;POLR2F;POLR3D;BRF1;POLR3H;POLR2H
prerank,Reactome_2022__Adherens Junctions Interactions R-HSA-418990,-0.5714673136179582,-1.7289369427770918,0.0,0.8586457750419698,0.9,7/16,15.17%,CDH8;CDH18;JUP;ANG;CDH24;CDH13;NECTIN2
prerank,Reactome_2022__PINK1-PRKN Mediated Mitophagy R-HSA-5205685,0.5226981634197968,1.726497107683807,0.0,0.31538795265662495,0.91,11/22,16.45%,ATG5;RPS27A;SQSTM1;TOMM20;TOMM5;MAP1LC3B;TOMM6;TOMM70;MFN2;MFN1;UBB
prerank,Reactome_2022__mRNA 3-End Processing R-HSA-72187,0.3769882986586007,1.701645700400884,0.021739130434782608,0.34522919236974475,0.94,27/57,27.96%,ALYREF;EIF4A3;DHX38;THOC7;THOC6;POLDIP3;CPSF1;U2AF2;PAPOLA;SRSF1;SRSF3;UPF3B;CHTOP;SRSF11;CSTF2;NUDT21;SRSF6;CSTF2T;CSTF1;SRSF9;CDC40;SYMPK;THOC5;MAGOH;SRSF7;SRSF5;ZC3H11A
prerank,Reactome_2022__RNA Polymerase III Chain Elongation R-HSA-73780,0.5308237893088348,1.7013839689132575,0.02,0.32365236784663565,0.94,7/17,11.86%,POLR3K;POLR2K;POLR1D;POLR2F;POLR3D;POLR3H;POLR2H
prerank,KEGG_2021_Human__Glutathione metabolism,0.42441427544906096,1.690836663482515,0.0,0.339195775111791,0.96,19/45,15.62%,GGT6;GGT7;NAT8B;OPLAH;GSTA4;GGT1;HPGDS;RRM2;G6PD;GSTO1;PGD;GSTM1;MGST2;GSTP1;RRM2B;TXNDC12;SMS;GCLM;GSTO2
prerank,Reactome_2022__FLT3 Signaling In Disease R-HSA-9682385,0.44319256785069644,1.6810702052255804,0.02127659574468085,0.34258855039912267,0.97,10/26,18.31%,BCL2L1;RPS27A;FLT3LG;HRAS;GRB2;PIK3CA;TRIP11;CBL;UBB;PIK3R1
prerank,Reactome_2022__G Alpha (Z) Signaling Events R-HSA-418597,0.41460773590534145,1.6767264937359176,0.0,0.3370658781336943,0.97,7/29,10.02%,ADCY7;GNB2;PRKCD;GNG5;GNG3;GNG10;GNG7
prerank,Reactome_2022__Nicotinamide Salvaging R-HSA-197264,-0.5266423591868559,-1.6651900476273158,0.03389830508474576,1.0,0.98,7/15,14.64%,PARP4;NAMPT;PARP16;NUDT12;RNLS;PARP6;NNMT
