Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__RNA Polymerase III Chain Elongation R-HSA-73780,-0.54877543906844,-1.8767912882385003,0.0,1.0,0.58,8/17,17.81%,CRCP;POLR3GL;POLR3D;POLR3C;POLR3G;POLR2E;POLR3K;POLR3H
prerank,Reactome_2022__Collagen Degradation R-HSA-1442490,0.474265278208021,1.8647903855470531,0.020833333333333332,1.0,0.66,11/23,21.52%,CTSL;COL9A1;MMP9;COL9A3;MMP28;COL13A1;ADAM9;ADAM17;COL9A2;MMP8;COL17A1
prerank,Reactome_2022__Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402,-0.45443766433701904,-1.8532879086771243,0.0,0.7396074431498698,0.66,8/35,3.12%,UBB;CHD8;XPO1;PROC;BCL9;AKT1;KMT2D;YWHAZ
prerank,Reactome_2022__NGF-stimulated Transcription R-HSA-9031628,-0.45876983994935716,-1.8013008798757906,0.0,0.8487875895196126,0.86,14/29,24.77%,CDK5R1;CREB1;SRF;EP300;CHD4;MEF2D;FOS;TRIB1;NAB2;JUND;FOSL1;DNM2;CDK5;ID2
prerank,Reactome_2022__RNA Polymerase III Transcription Termination R-HSA-73980,-0.5044053572380712,-1.7796114553581712,0.018518518518518517,0.8056438220025369,0.92,12/20,30.12%,CRCP;POLR3GL;POLR3D;POLR3C;POLR3G;POLR2E;POLR3K;POLR3H;NFIA;POLR2L;SSB;POLR2F
prerank,Reactome_2022__Blood Group Systems Biosynthesis R-HSA-9033658,-0.5319294838338715,-1.7553794436383399,0.014925373134328358,0.7860970538621473,0.96,6/15,11.18%,FUT1;RHCE;B3GALT2;ABO;B4GALNT2;RHD
prerank,Reactome_2022__Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190,0.37062953038558993,1.7375533476362264,0.044444444444444446,1.0,0.96,8/38,7.52%,RAD9B;RAD51AP1;DNA2;RBBP8;RFC3;RFC5;EXO1;BLM
prerank,Reactome_2022__Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,-0.49091355555067323,-1.7042542475700861,0.041666666666666664,0.9949481080468487,0.97,7/21,12.46%,CREB1;XPO1;AKT1;SRF;TGFA;MAPK1;FOS
prerank,Reactome_2022__HDR Thru Single Strand Annealing (SSA) R-HSA-5685938,0.38498855584858216,1.6908007038559787,0.02127659574468085,1.0,1.0,8/34,7.52%,RAD9B;DNA2;RBBP8;RFC3;RFC5;EXO1;ERCC4;BLM
prerank,Reactome_2022__Activation Of BAD And Translocation To Mitochondria R-HSA-111447,-0.5369982248832139,-1.6875920381242553,0.03773584905660377,0.993187137944111,0.98,4/15,6.82%,AKT1;YWHAZ;BAD;REXO2
prerank,Reactome_2022__FCERI Mediated MAPK Activation R-HSA-2871796,-0.42749748546982264,-1.6874651293938043,0.014285714285714285,0.8690387457010972,0.98,14/29,22.92%,MAP2K7;NRAS;MAPK1;FOS;PKN1;MAP2K4;SPNS1;LCP2;VAV2;PLCG2;PKN2;MAPK8;MAPK9;HRAS
